Events Sent, Average throughput (events/second)
1395347,996.669645615
1395447,996.6698842736
1395547,996.670122898
1395647,996.6703614883
1395748,996.669885968
1395848,996.6701245408
1395948,996.6703630794
1396049,996.6698876615
1396149,996.6701261828
1396249,996.6703646699
1396349,996.6706031229
1396450,996.6701278241
1396550,996.6703662597
1396650,996.6706046612
1396751,996.6701294647
1396851,996.6703678488
1396951,996.6706061988
1397051,996.6708445146
1397152,996.6703694373
1397252,996.6706077358
1397352,996.6708460001
1397453,996.670371025
1397553,996.6706092721
1397653,996.670847485
1397754,996.6703726121
1397854,996.6706108077
1397954,996.6708489693
1398054,996.6710870968
1398155,996.6706123427
1398255,996.6708504529
1398355,996.671088529
1398456,996.670613877
1398556,996.6708519359
1398656,996.6710899606
1398756,996.6713279514
1398857,996.6708534182
1398957,996.6710913917
1399057,996.6713293311
1399158,996.6708548999
1399258,996.6710928221
1399358,996.6713307102
1399459,996.6708563809
1399559,996.6710942518
1399659,996.6713320887
1399760,996.6708578613
1399860,996.671095681
1399960,996.6713334667
1400060,996.6715712184
1400161,996.6710971095
1400261,996.671334844
1400361,996.6715725445
1400462,996.6710985375
1400562,996.6713362207
1400662,996.6715738701
1400763,996.6710999648
1400863,996.6713375969
1400963,996.6715751951
1401063,996.6718127593
1401164,996.6713389725
1401264,996.6715765195
1401364,996.6718140326
1401464,996.6720515118
1401565,996.6715778433
1401665,996.6718153054
1401765,996.6720527335
1401866,996.6715791666
1401966,996.6718165776
1402066,996.6720539547
1402167,996.6715804893
1402267,996.6718178492
1402367,996.6720551753
1402467,996.6722924675
1402568,996.6718191204
1402668,996.6720563954
1402768,996.6722936366
1402869,996.6718203909
1402969,996.672057615
1403069,996.6722948052
1403170,996.671821661
1403270,996.672058834
1403370,996.6722959733
1403470,996.6725330787
1403571,996.6720600525
1403671,996.6722971409
1403771,996.6725341954
1403872,996.6720612705
1403972,996.6722983079
1404072,996.6725353116
1404173,996.672062488
1404273,996.6722994745
1404373,996.6725364273
1404473,996.6727733463
1404574,996.6723006406
1404674,996.6725375425
1404774,996.6727744107
1404875,996.6723018062
1404975,996.6725386573
1405075,996.6727754746
1405175,996.6730122583
1405276,996.6725397715
1405376,996.6727765381
1405476,996.6730132709
1405577,996.6725408853
1405677,996.6727776011
1405777,996.6730142832
1405878,996.6725419987
1405978,996.6727786637
1406078,996.673015295
1406178,996.6732518927
1406279,996.6727797258
1406379,996.6730163064
1406479,996.6732528534
1406580,996.6727807874
1406680,996.6730173174
1406780,996.6732538137
1406880,996.6734902764
1406981,996.6730183279
1407081,996.6732547735
1407181,996.6734911856
1407282,996.673019338
1407382,996.673255733
1407482,996.6734920944
1407582,996.6737284222
1407683,996.673256692
1407783,996.6734930028
1407883,996.6737292801
1407984,996.6732576507
1408084,996.6734939109
1408184,996.6737301375
1408285,996.6732586089
1408385,996.6734948185
1408485,996.6737309947
1408585,996.6739671372
1408686,996.6734957258
1408786,996.6737318514
1408886,996.6739679435
1408987,996.6734966327
1409087,996.6737327078
1409187,996.6739687494
1409287,996.6742047574
1409388,996.6737335638
1409488,996.6739695549
1409588,996.6742055125
1409689,996.6737344194
1409789,996.6739703601
1409889,996.6742062673
1409990,996.6737352747
1410090,996.673971165
1410190,996.6742070217
1410290,996.6744428451
1410391,996.6739719695
1410491,996.6742077759
1410591,996.6744435488
1410692,996.6739727736
1410792,996.6742085297
1410892,996.6744442523
1410992,996.6746799415
1411093,996.6742092832
1411193,996.6744449554
1411293,996.6746805943
1411394,996.6742100363
1411494,996.6744456583
1411594,996.6746812469
1411694,996.6749168021
1411795,996.6744463608
1411895,996.6746818992
1411995,996.6749174041
1412096,996.6744470631
1412196,996.6746825511
1412296,996.6749180059
1412397,996.674447765
1412497,996.6746832029
1412597,996.6749186074
1412697,996.6751539785
1412798,996.6746838543
1412898,996.6749192086
1412998,996.6751545296
1413099,996.6746845055
1413199,996.6749198096
1413299,996.6751550804
1413399,996.675390318
1413500,996.6749204103
1413600,996.675155631
1413700,996.6753908184
1413801,996.6749210108
1413901,996.6751561814
1414001,996.6753913187
1414101,996.6756264227
1414202,996.6751567315
1414302,996.6753918187
1414402,996.6756268727
1414502,996.6758618934
1414603,996.6753923186
1414703,996.6756273225
1414803,996.6758622932
1414904,996.6753928182
1415004,996.6756277721
1415104,996.6758626928
1415204,996.6760975803
1415305,996.6756282215
1415405,996.6758630922
1415505,996.6760979297
1415606,996.6756286707
1415706,996.6758634914
1415806,996.676098279
1415907,996.6756291197
1416007,996.6758638905
1416107,996.6760986281
1416208,996.6756295685
1416308,996.6758642894
1416408,996.6760989771
1416509,996.6756300172
1416609,996.6758646881
1416709,996.676099326
1416809,996.6763339307
1416910,996.6758650867
1417010,996.6760996747
1417110,996.6763342295
1417210,996.6765687513
1417311,996.6761000232
1417411,996.6763345282
1417511,996.6765690002
1417612,996.6761003716
1417712,996.6763348268
1417812,996.676569249
1417913,996.6761007199
1418013,996.6763351253
1418113,996.6765694976
1418213,996.6768038369
1418314,996.6763354236
1418414,996.6765697462
1418514,996.6768040358
1418615,996.6763357218
1418715,996.6765699947
1418815,996.6768042345
1418916,996.6763360199
1419016,996.676570243
1419116,996.6768044332
1419217,996.6763363178
1419317,996.6765704913
1419417,996.6768046318
1419517,996.6770387392
1419618,996.6765707395
1419718,996.6768048303
1419818,996.6770388881
1419919,996.6765709875
1420019,996.6768050287
1420119,996.6770390369
1420220,996.6765712354
1420320,996.676805227
1420420,996.6770391856
