Timestamp,Average latency (ms)
2017-08-19 11:30:54,132
2017-08-19 11:31:10,1007
2017-08-19 11:31:20,1007
2017-08-19 11:31:30,8
2017-08-19 11:31:40,1009
2017-08-19 11:31:50,1010
2017-08-19 11:32:00,1012
2017-08-19 11:32:10,65
2017-08-19 11:32:20,65
2017-08-19 11:32:30,1066
2017-08-19 11:32:40,66
2017-08-19 11:32:50,67
2017-08-19 11:33:00,1067
2017-08-19 11:33:10,93
2017-08-19 11:33:20,93
2017-08-19 11:33:30,95
2017-08-19 11:33:40,96
2017-08-19 11:33:50,96
2017-08-19 11:34:00,1006
2017-08-19 11:34:10,1005
2017-08-19 11:34:20,1007
2017-08-19 11:34:30,1008
2017-08-19 11:34:40,1008
2017-08-19 11:34:50,1008
2017-08-19 11:35:00,1009
2017-08-19 11:35:10,1030
2017-08-19 11:35:20,1030
2017-08-19 11:35:30,32
2017-08-19 11:35:40,1032
2017-08-19 11:35:50,1033
2017-08-19 11:36:00,1037
2017-08-19 11:36:10,1031
2017-08-19 11:36:20,1031
2017-08-19 11:36:30,31
2017-08-19 11:36:40,1031
2017-08-19 11:36:50,1031
2017-08-19 11:37:00,1020
2017-08-19 11:37:10,1020
2017-08-19 11:37:20,1020
2017-08-19 11:37:30,22
2017-08-19 11:37:40,1020
2017-08-19 11:37:50,1020
2017-08-19 11:38:00,1015
2017-08-19 11:38:10,1015
2017-08-19 11:38:20,1015
2017-08-19 11:38:30,16
2017-08-19 11:38:40,1017
2017-08-19 11:38:50,1017
2017-08-19 11:39:00,1007
2017-08-19 11:39:10,1007
2017-08-19 11:39:20,1007
2017-08-19 11:39:30,7
2017-08-19 11:39:40,1008
2017-08-19 11:39:50,1008
2017-08-19 11:39:59,997
2017-08-19 11:40:09,997
2017-08-19 11:40:19,996
2017-08-19 11:40:29,997
2017-08-19 11:40:39,998
2017-08-19 11:40:49,999
2017-08-19 11:41:00,1000
2017-08-19 11:41:10,168
2017-08-19 11:41:20,163
2017-08-19 11:41:30,163
2017-08-19 11:41:40,163
2017-08-19 11:41:50,163
2017-08-19 11:42:00,1042
2017-08-19 11:42:10,1043
2017-08-19 11:42:20,44
2017-08-19 11:42:30,44
2017-08-19 11:42:40,1044
2017-08-19 11:42:50,1045
2017-08-19 11:43:00,1015
2017-08-19 11:43:10,1016
2017-08-19 11:43:20,1017
2017-08-19 11:43:30,17
2017-08-19 11:43:40,1017
2017-08-19 11:43:50,1017
2017-08-19 11:44:00,1018
2017-08-19 11:44:10,85
2017-08-19 11:44:20,85
2017-08-19 11:44:30,85
2017-08-19 11:44:40,85
2017-08-19 11:44:50,85
2017-08-19 11:45:00,1062
2017-08-19 11:45:10,1075
2017-08-19 11:45:20,73
2017-08-19 11:45:30,74
2017-08-19 11:45:40,74
2017-08-19 11:45:50,75
2017-08-19 11:46:00,1031
2017-08-19 11:46:10,1031
2017-08-19 11:46:20,34
2017-08-19 11:46:30,31
2017-08-19 11:46:40,1031
2017-08-19 11:46:50,1032
2017-08-19 11:47:00,1011
2017-08-19 11:47:10,1012
2017-08-19 11:47:20,1011
2017-08-19 11:47:30,12
2017-08-19 11:47:40,1013
2017-08-19 11:47:50,1014
2017-08-19 11:47:59,995
2017-08-19 11:48:09,994
2017-08-19 11:48:19,995
2017-08-19 11:48:29,995
2017-08-19 11:48:39,995
2017-08-19 11:48:49,995
2017-08-19 11:48:59,995
2017-08-19 11:49:10,66
2017-08-19 11:49:20,66
2017-08-19 11:49:30,66
2017-08-19 11:49:40,1066
2017-08-19 11:49:50,66
2017-08-19 11:50:00,1043
2017-08-19 11:50:10,1042
2017-08-19 11:50:20,43
2017-08-19 11:50:30,45
2017-08-19 11:50:40,1045
2017-08-19 11:50:50,1047
2017-08-19 11:51:00,1011
2017-08-19 11:51:10,1011
2017-08-19 11:51:20,1012
2017-08-19 11:51:30,21
2017-08-19 11:51:40,1013
2017-08-19 11:51:50,1014
2017-08-19 11:51:59,988
2017-08-19 11:52:09,986
2017-08-19 11:52:19,986
2017-08-19 11:52:29,986
2017-08-19 11:52:39,987
2017-08-19 11:52:49,987
2017-08-19 11:52:59,987
2017-08-19 11:53:10,61
2017-08-19 11:53:20,61
2017-08-19 11:53:30,61
2017-08-19 11:53:40,1061
2017-08-19 11:53:50,62
2017-08-19 11:54:00,1033
2017-08-19 11:54:10,1033
2017-08-19 11:54:20,34
2017-08-19 11:54:30,34
2017-08-19 11:54:40,1034
2017-08-19 11:54:50,1034
2017-08-19 11:55:00,1008
2017-08-19 11:55:10,1007
2017-08-19 11:55:20,1008
2017-08-19 11:55:30,8
2017-08-19 11:55:40,1009
2017-08-19 11:55:50,1009
2017-08-19 11:55:59,988
