Timestamp,Average latency (ms)
2017-08-19 12:10:42,1061
2017-08-19 12:11:00,1017
2017-08-19 12:11:10,1011
2017-08-19 12:11:20,1011
2017-08-19 12:11:30,1011
2017-08-19 12:11:40,1011
2017-08-19 12:11:50,1011
2017-08-19 12:12:00,1007
2017-08-19 12:12:10,1007
2017-08-19 12:12:20,1009
2017-08-19 12:12:30,1010
2017-08-19 12:12:40,1011
2017-08-19 12:12:50,11
2017-08-19 12:13:00,1014
2017-08-19 12:13:10,1037
2017-08-19 12:13:20,37
2017-08-19 12:13:30,1037
2017-08-19 12:13:40,1037
2017-08-19 12:13:50,37
2017-08-19 12:14:00,1037
2017-08-19 12:14:10,1051
2017-08-19 12:14:20,52
2017-08-19 12:14:30,1054
2017-08-19 12:14:40,54
2017-08-19 12:14:50,56
2017-08-19 12:15:00,1057
2017-08-19 12:15:10,71
2017-08-19 12:15:40,73
2017-08-19 12:15:50,73
2017-08-19 12:16:00,1074
2017-08-19 12:16:10,80
2017-08-19 12:16:20,80
2017-08-19 12:16:30,1084
2017-08-19 12:16:50,89
2017-08-19 12:17:00,1079
2017-08-19 12:17:10,80
2017-08-19 12:17:20,81
2017-08-19 12:17:30,83
2017-08-19 12:17:40,85
2017-08-19 12:17:50,87
2017-08-19 12:18:00,1076
2017-08-19 12:18:10,76
2017-08-19 12:18:20,80
2017-08-19 12:18:30,81
2017-08-19 12:18:40,82
2017-08-19 12:18:50,84
2017-08-19 12:19:00,1071
2017-08-19 12:19:10,72
2017-08-19 12:19:20,75
2017-08-19 12:19:30,76
2017-08-19 12:19:40,77
2017-08-19 12:19:50,82
2017-08-19 12:20:00,1062
2017-08-19 12:20:10,63
2017-08-19 12:20:20,64
2017-08-19 12:20:30,67
2017-08-19 12:20:40,1070
2017-08-19 12:20:50,67
2017-08-19 12:21:00,1048
2017-08-19 12:21:10,1048
2017-08-19 12:21:20,48
2017-08-19 12:21:30,49
2017-08-19 12:21:40,1049
2017-08-19 12:21:50,1049
2017-08-19 12:22:00,1024
2017-08-19 12:22:10,1024
2017-08-19 12:22:20,1025
2017-08-19 12:22:30,26
2017-08-19 12:22:40,1027
2017-08-19 12:22:50,1028
2017-08-19 12:22:59,996
2017-08-19 12:23:09,997
2017-08-19 12:23:19,997
2017-08-19 12:23:29,998
2017-08-19 12:23:39,998
2017-08-19 12:23:50,1000
2017-08-19 12:23:59,999
2017-08-19 12:24:10,72
2017-08-19 12:24:20,75
2017-08-19 12:24:30,76
2017-08-19 12:24:40,1078
2017-08-19 12:24:50,80
2017-08-19 12:25:00,1053
2017-08-19 12:25:10,1056
2017-08-19 12:25:20,55
2017-08-19 12:25:30,55
2017-08-19 12:25:40,1058
2017-08-19 12:25:50,61
2017-08-19 12:26:00,1031
2017-08-19 12:26:10,1031
2017-08-19 12:26:20,1032
2017-08-19 12:26:30,32
2017-08-19 12:26:40,1032
2017-08-19 12:26:50,1032
2017-08-19 12:27:00,1002
2017-08-19 12:27:10,1001
2017-08-19 12:27:20,1001
2017-08-19 12:27:30,1002
2017-08-19 12:27:40,1002
2017-08-19 12:27:50,1002
2017-08-19 12:28:00,1002
2017-08-19 12:28:10,77
2017-08-19 12:28:20,79
2017-08-19 12:28:30,79
2017-08-19 12:28:40,81
2017-08-19 12:28:50,82
2017-08-19 12:29:00,1055
2017-08-19 12:29:10,1057
2017-08-19 12:29:20,58
2017-08-19 12:29:30,60
2017-08-19 12:29:40,1060
2017-08-19 12:29:50,61
2017-08-19 12:30:00,1040
2017-08-19 12:30:10,1040
2017-08-19 12:30:20,40
2017-08-19 12:30:30,41
2017-08-19 12:30:40,1042
2017-08-19 12:30:50,1043
2017-08-19 12:31:00,1018
2017-08-19 12:31:10,1020
2017-08-19 12:31:20,1019
2017-08-19 12:31:30,19
2017-08-19 12:31:40,1021
2017-08-19 12:31:50,1022
2017-08-19 12:32:00,1022
2017-08-19 12:32:10,92
2017-08-19 12:32:20,93
2017-08-19 12:32:30,93
2017-08-19 12:32:40,95
2017-08-19 12:32:50,95
2017-08-19 12:33:00,1064
2017-08-19 12:33:10,1064
2017-08-19 12:33:20,65
2017-08-19 12:33:30,65
2017-08-19 12:33:40,1065
2017-08-19 12:33:50,65
2017-08-19 12:34:00,1038
2017-08-19 12:34:10,1038
2017-08-19 12:34:20,1039
2017-08-19 12:34:30,41
2017-08-19 12:34:40,1041
2017-08-19 12:34:50,1043
2017-08-19 12:35:00,1027
2017-08-19 12:35:10,1028
2017-08-19 12:35:20,1029
2017-08-19 12:35:30,31
2017-08-19 12:35:40,32
2017-08-19 12:35:50,1033
2017-08-19 12:36:00,1034
2017-08-19 12:36:10,86
2017-08-19 12:36:20,89
2017-08-19 12:36:30,89
2017-08-19 12:36:40,92
2017-08-19 12:36:50,94
2017-08-19 12:37:00,1086
2017-08-19 12:37:10,88
2017-08-19 12:37:20,88
2017-08-19 12:37:30,88
2017-08-19 12:37:40,88
2017-08-19 12:37:50,88
2017-08-19 12:38:00,1069
2017-08-19 12:38:10,69
2017-08-19 12:38:20,71
2017-08-19 12:38:30,71
2017-08-19 12:38:40,1072
2017-08-19 12:38:50,73
2017-08-19 12:39:00,1049
2017-08-19 12:39:10,1049
2017-08-19 12:39:20,49
2017-08-19 12:39:30,49
2017-08-19 12:39:40,1051
2017-08-19 12:39:50,1051
2017-08-19 12:40:00,1023
2017-08-19 12:40:10,1022
2017-08-19 12:40:20,1023
2017-08-19 12:40:30,4023
2017-08-19 12:40:40,13023
