 ./jmeter.sh -n -t /home/wso2/Downloads/AbnormalResponseTimeTest.jmx -l abnormal_response_time_new_100ms_delayed.jtl -Jhost=10.0.0.1 -Jprotocol=http -Jusers=1 -Jpath=endpoints/testResponseReceiverHTTP
Creating summariser <summary>
Created the tree successfully using /home/wso2/Downloads/AbnormalResponseTimeTest.jmx
Starting the test @ Fri Aug 11 12:06:59 IST 2017 (1502433419160)
Waiting for possible Shutdown/StopTestNow/Heapdump message on port 4445
summary +      1 in 00:00:01 =    1.9/s Avg:   375 Min:   375 Max:   375 Err:     0 (0.00%) Active: 1 Started: 1 Finished: 0
summary +   2210 in 00:00:30 =   73.7/s Avg:     2 Min:     1 Max:    21 Err:     0 (0.00%) Active: 1 Started: 1 Finished: 0
summary =   2211 in 00:00:30 =   72.5/s Avg:     3 Min:     1 Max:   375 Err:     0 (0.00%)
summary +   2338 in 00:00:30 =   77.9/s Avg:     2 Min:     1 Max:    24 Err:     0 (0.00%) Active: 1 Started: 1 Finished: 0
summary =   4549 in 00:01:00 =   75.2/s Avg:     2 Min:     1 Max:   375 Err:     0 (0.00%)
summary +   2311 in 00:00:30 =   77.0/s Avg:     2 Min:     1 Max:   360 Err:     0 (0.00%) Active: 1 Started: 1 Finished: 0
summary =   6860 in 00:01:30 =   75.8/s Avg:     2 Min:     1 Max:   375 Err:     0 (0.00%)
summary +   2381 in 00:00:30 =   79.4/s Avg:     2 Min:     1 Max:    10 Err:     0 (0.00%) Active: 1 Started: 1 Finished: 0
summary =   9241 in 00:02:00 =   76.7/s Avg:     2 Min:     1 Max:   375 Err:     0 (0.00%)
summary +   2423 in 00:00:30 =   80.8/s Avg:     2 Min:     1 Max:    16 Err:     0 (0.00%) Active: 1 Started: 1 Finished: 0
summary =  11664 in 00:02:30 =   77.5/s Avg:     2 Min:     1 Max:   375 Err:     0 (0.00%)
summary +   2446 in 00:00:30 =   81.5/s Avg:     1 Min:     1 Max:    20 Err:     0 (0.00%) Active: 1 Started: 1 Finished: 0
summary =  14110 in 00:03:00 =   78.2/s Avg:     2 Min:     1 Max:   375 Err:     0 (0.00%)
summary +   2433 in 00:00:30 =   81.1/s Avg:     1 Min:     1 Max:    94 Err:     0 (0.00%) Active: 1 Started: 1 Finished: 0
summary =  16543 in 00:03:30 =   78.6/s Avg:     2 Min:     1 Max:   375 Err:     0 (0.00%)
summary +   2460 in 00:00:30 =   82.0/s Avg:     1 Min:     1 Max:     8 Err:     0 (0.00%) Active: 1 Started: 1 Finished: 0
summary =  19003 in 00:04:00 =   79.0/s Avg:     2 Min:     1 Max:   375 Err:     0 (0.00%)
summary +   2460 in 00:00:30 =   82.0/s Avg:     1 Min:     1 Max:    35 Err:     0 (0.00%) Active: 1 Started: 1 Finished: 0
summary =  21463 in 00:04:30 =   79.3/s Avg:     2 Min:     1 Max:   375 Err:     0 (0.00%)
