./jmeter.sh -n -t /home/wso2/Downloads/AbnormalResponseTimeTest.jmx -l abnormal_response_time_new_accuracy_0.1.jtl -Jhost=10.0.0.1 -Jprotocol=http -Jusers=1 -Jpath=endpoints/testResponseReceiverHTTP
Creating summariser <summary>
Created the tree successfully using /home/wso2/Downloads/AbnormalResponseTimeTest.jmx
Starting the test @ Tue Aug 15 16:34:02 IST 2017 (1502795042913)
Waiting for possible Shutdown/StopTestNow/Heapdump message on port 4445
summary +      1 in 00:00:00 =    3.9/s Avg:    83 Min:    83 Max:    83 Err:     0 (0.00%) Active: 1 Started: 1 Finished: 0
summary +   2110 in 00:00:26 =   79.6/s Avg:     1 Min:     0 Max:    15 Err:     0 (0.00%) Active: 1 Started: 1 Finished: 0
summary =   2111 in 00:00:27 =   78.9/s Avg:     1 Min:     0 Max:    83 Err:     0 (0.00%)
summary +   2488 in 00:00:30 =   83.0/s Avg:     1 Min:     0 Max:    14 Err:     0 (0.00%) Active: 1 Started: 1 Finished: 0
summary =   4599 in 00:00:57 =   81.1/s Avg:     1 Min:     0 Max:    83 Err:     0 (0.00%)
summary +   2498 in 00:00:30 =   83.3/s Avg:     1 Min:     0 Max:    12 Err:     0 (0.00%) Active: 1 Started: 1 Finished: 0
summary =   7097 in 00:01:27 =   81.8/s Avg:     1 Min:     0 Max:    83 Err:     0 (0.00%)
summary +   2536 in 00:00:30 =   84.5/s Avg:     1 Min:     0 Max:   120 Err:     0 (0.00%) Active: 1 Started: 1 Finished: 0
summary =   9633 in 00:01:57 =   82.5/s Avg:     1 Min:     0 Max:   120 Err:     0 (0.00%)
summary +   2552 in 00:00:30 =   85.1/s Avg:     1 Min:     0 Max:    12 Err:     0 (0.00%) Active: 1 Started: 1 Finished: 0
summary =  12185 in 00:02:27 =   83.0/s Avg:     1 Min:     0 Max:   120 Err:     0 (0.00%)
summary +   2573 in 00:00:30 =   85.8/s Avg:     1 Min:     1 Max:    15 Err:     0 (0.00%) Active: 1 Started: 1 Finished: 0
summary =  14758 in 00:02:57 =   83.5/s Avg:     1 Min:     0 Max:   120 Err:     0 (0.00%)
