Timestamp,Average latency (ms)
2017-08-18 09:17:14,164
2017-08-18 09:17:24,150
2017-08-18 09:17:34,143
2017-08-18 09:17:44,143
2017-08-18 09:17:54,144
2017-08-18 09:18:00,1112
2017-08-18 09:18:10,112
2017-08-18 09:18:20,113
2017-08-18 09:18:30,113
2017-08-18 09:18:40,115
2017-08-18 09:18:50,1114
2017-08-18 09:19:00,1054
2017-08-18 09:19:10,1054
2017-08-18 09:19:20,54
2017-08-18 09:19:30,1055
2017-08-18 09:19:40,1055
2017-08-18 09:19:50,56
2017-08-18 09:20:00,1058
2017-08-18 09:20:20,84
2017-08-18 09:20:30,1085
2017-08-18 09:20:40,85
2017-08-18 09:20:50,85
2017-08-18 09:21:00,1086
2017-08-18 09:21:10,97
2017-08-18 09:21:20,98
2017-08-18 09:21:30,1099
2017-08-18 09:21:40,100
2017-08-18 09:21:50,101
2017-08-18 09:22:00,1120
2017-08-18 09:22:10,130
2017-08-18 09:22:20,141
2017-08-18 09:22:30,132
2017-08-18 09:22:40,132
2017-08-18 09:22:50,133
2017-08-18 09:23:00,1112
2017-08-18 09:23:10,112
2017-08-18 09:23:20,113
2017-08-18 09:23:30,1113
2017-08-18 09:23:40,114
2017-08-18 09:23:50,113
2017-08-18 09:24:00,1113
2017-08-18 09:24:10,114
2017-08-18 09:24:20,114
2017-08-18 09:24:30,115
2017-08-18 09:24:40,115
2017-08-18 09:24:50,116
2017-08-18 09:25:00,1022
2017-08-18 09:25:10,1022
2017-08-18 09:25:20,1022
2017-08-18 09:25:30,1023
2017-08-18 09:25:40,1024
2017-08-18 09:25:50,1025
2017-08-18 09:26:00,1026
2017-08-18 09:26:10,103
2017-08-18 09:26:20,104
2017-08-18 09:26:30,104
2017-08-18 09:26:40,104
2017-08-18 09:26:50,105
2017-08-18 09:27:00,1088
2017-08-18 09:27:10,1089
2017-08-18 09:27:20,89
2017-08-18 09:27:30,99
2017-08-18 09:27:40,1090
2017-08-18 09:27:50,91
2017-08-18 09:28:00,1070
2017-08-18 09:28:10,1069
2017-08-18 09:28:20,70
2017-08-18 09:28:30,71
2017-08-18 09:28:40,1071
2017-08-18 09:28:50,1072
2017-08-18 09:29:00,1048
2017-08-18 09:29:10,1049
2017-08-18 09:29:20,1049
2017-08-18 09:29:30,49
2017-08-18 09:29:40,1049
2017-08-18 09:29:50,1049
2017-08-18 09:30:00,1036
2017-08-18 09:30:10,1037
2017-08-18 09:30:20,1036
2017-08-18 09:30:30,37
2017-08-18 09:30:40,1037
2017-08-18 09:30:50,1037
2017-08-18 09:31:00,1038
2017-08-18 09:31:10,115
2017-08-18 09:31:20,116
2017-08-18 09:31:30,116
2017-08-18 09:31:50,117
2017-08-18 09:32:00,1092
2017-08-18 09:32:10,1092
2017-08-18 09:32:20,92
2017-08-18 09:32:30,92
2017-08-18 09:32:40,1096
2017-08-18 09:32:50,93
2017-08-18 09:33:00,1069
2017-08-18 09:33:10,1069
2017-08-18 09:33:20,69
2017-08-18 09:33:30,69
2017-08-18 09:33:40,1069
2017-08-18 09:33:50,1071
2017-08-18 09:34:00,1044
