Events Sent, Average throughput (events/second)
1395272, 996.7948901719521
1395372, 996.7951198676769
1395473, 996.7946352240423
1395573, 996.7948649049531
1395673, 996.7950945529504
1395774, 996.7946100156616
1395874, 996.7948396488508
1395974, 996.7950692491407
1396074, 996.7952988165384
1396175, 996.7948144036385
1396275, 996.7950439562408
1396375, 996.7952734759646
1396476, 996.7947891693091
1396576, 996.7950186742432
1396676, 996.7952481463132
1396776, 996.7954775855255
1396877, 996.7949934031415
1396977, 996.7952228275769
1397077, 996.795452219169
1397178, 996.7949681429282
1397278, 996.7951975197491
1397378, 996.7954268637405
1397478, 996.7956561749094
1397579, 996.7951722228224
1397679, 996.795401519233
1397779, 996.7956307828347
1397879, 996.795860013635
1397980, 996.7953761856393
1398080, 996.7956054016938
1398180, 996.7958345849605
1398281, 996.7953508629524
1398381, 996.7955800314793
1398481, 996.7958091672322
1398581, 996.7960382702181
1398682, 996.7955546721843
1398782, 996.795783760443
1398882, 996.7960128159488
1398983, 996.7955293238017
1399083, 996.7957583645859
1399183, 996.795987372631
1399283, 996.7962163479439
1399384, 996.795732979654
1399484, 996.7959619402579
1399584, 996.7961908681436
1399685, 996.7957076056398
1399785, 996.7959365188225
1399885, 996.7961653993005
1399985, 996.7963942470813
1400086, 996.7959111083177
1400186, 996.7961399414078
1400286, 996.7963687418143
1400387, 996.7958857087363
1400487, 996.796114494458
1400587, 996.7963432475098
1400687, 996.7965719678987
1400788, 996.7960890584443
1400888, 996.796317764161
1400988, 996.7965464372286
1401089, 996.7960636333595
1401189, 996.7962922917608
1401289, 996.7965209175267
1401389, 996.7967495106641
1401490, 996.796266830302
1401590, 996.7964954087857
1401690, 996.7967239546547
1401790, 996.796952467916
1401891, 996.7964699109988
1401991, 996.7966984096189
1402091, 996.796926875645
1402192, 996.7964444241587
1402292, 996.7966728755495
1402392, 996.7969012943599
1402492, 996.7971296805971
1402593, 996.7966473524393
1402693, 996.7968757240536
1402793, 996.7971040631083
1402894, 996.7966218402817
1402994, 996.7968501647192
1403094, 996.797078456611
1403194, 996.7973067159637
1403295, 996.7968246163493
1403395, 996.7970528610975
1403495, 996.7972810733205
1403596, 996.7967990789373
1403696, 996.7970272765613
1403796, 996.7972554416739
1403896, 996.7974835742818
1403997, 996.7970017029951
1404097, 996.7972298210166
1404197, 996.7974579065473
1404298, 996.7969761403918
1404398, 996.7972042113418
1404498, 996.7974322498145
1404598, 996.7976602558169
1404699, 996.7971786126423
1404799, 996.7974066040764
1404899, 996.7976345630541
1405000, 996.797153024911
1405100, 996.797380969326
1405200, 996.797608881298
1405300, 996.797836760834
1405401, 996.7973553455562
1405501, 996.797583210542
1405601, 996.7978110431054
1405702, 996.7973297327599
1405802, 996.7975575507788
1405902, 996.7977853363891
1406002, 996.7980130895972
1406103, 996.7975319020015
1406203, 996.7977596406778
1406303, 996.7979873469658
1406403, 996.7982150208724
1406504, 996.7977339559646
1406604, 996.7979616153516
1406704, 996.7981892423709
1406805, 996.7977082822423
1406905, 996.7979358947478
1407005, 996.7981634748988
1407106, 996.7976826195041
1407206, 996.7979101851471
1407306, 996.7981377184493
1407406, 996.7983652194179
1407507, 996.7978844865424
1407607, 996.7981119730151
1407707, 996.7983394271678
1407807, 996.798566849007
