Events Sent, Average throughput (events/second)
1395252, 996.7375069163134
1395353, 996.7370264012045
1395453, 996.7372602301905
1395553, 996.7374940256658
1395654, 996.7370136151224
1395754, 996.7372473945983
1395854, 996.7374811405776
1395955, 996.7370008345541
1396055, 996.7372345645408
1396155, 996.7374682610455
1396255, 996.7377019240755
1396356, 996.7372217400148
1396456, 996.7374553870656
1396556, 996.7376890006558
1396657, 996.7372089210163
1396757, 996.7374425186342
1396857, 996.7376760828059
1396958, 996.7371961075423
1397058, 996.737429655748
1397158, 996.737663170522
1397258, 996.7378966518711
1397359, 996.7374167984033
1397459, 996.7376502638002
1397559, 996.7378836957868
1397660, 996.7374039465965
1397760, 996.7376373626373
1397860, 996.7378707452821
1397961, 996.737391100324
1398061, 996.7376244670297
1398161, 996.7378578003535
1398261, 996.7380911003024
1398362, 996.7376115769736
1398462, 996.7378448609973
1398562, 996.7380781116603
1398663, 996.7375986924656
1398763, 996.73783192721
1398863, 996.738065128608
1398963, 996.7382982966669
1399064, 996.7378189989879
1399164, 996.7380521511417
1399264, 996.7382852699706
1399365, 996.7378060763275
1399465, 996.7380391792577
1399565, 996.7382722488774
1399665, 996.7385052851932
1399766, 996.7380262129527
1399866, 996.7382592333838
1399966, 996.7384922205254
1400067, 996.7380132522229
1400167, 996.7382462234862
1400267, 996.7384791614742
1400367, 996.738712066194
1400468, 996.738233219181
1400568, 996.7384661080362
1400668, 996.7386989636373
1400768, 996.7389317859917
1400869, 996.7384530602076
1400969, 996.7386858667107
1401069, 996.7389186399813
1401169, 996.7391513800262
1401270, 996.7386727754108
1401370, 996.7389054996182
1401470, 996.7391381906141
1401571, 996.7386596897338
1401671, 996.7388923648988
1401771, 996.7391250068663
1401871, 996.7393576156437
1401972, 996.7388792358192
1402072, 996.7391118287792
1402172, 996.7393443885629
1402273, 996.7388661123762
1402373, 996.7390986563489
1402473, 996.7393311671598
1402574, 996.7388529945656
1402674, 996.7390854895721
1402774, 996.7393179514305
1402874, 996.7395503801482
1402975, 996.739072328445
1403075, 996.7393047413716
1403175, 996.7395371211716
1403276, 996.7390591729638
1403376, 996.7392915369794
1403476, 996.7395238678823
1403576, 996.7397561656796
1403677, 996.7392783382502
1403777, 996.7395106202765
1403877, 996.7397428692116
1403978, 996.7392651451803
1404078, 996.7394973783507
1404178, 996.7397295784438
1404279, 996.7392519577662
1404379, 996.7394841421012
1404479, 996.7397162933729
1404580, 996.7392387760042
1404680, 996.7394709115243
1404780, 996.739703013995
1404880, 996.7399350834235
1404981, 996.7394576866164
1405081, 996.7396897403067
1405181, 996.7399217609689
1405282, 996.7394444673738
1405382, 996.7396764723044
1405482, 996.7399084442205
1405583, 996.739431253793
1405683, 996.7396632099841
1405783, 996.7398951331749
1405883, 996.7401270233725
1405984, 996.7396499533423
1406084, 996.7398818278283
1406184, 996.740113669335
1406284, 996.7403454778694
1406385, 996.7398685281769
1406485, 996.740100321013
1406585, 996.740332080891
1406685, 996.7405638078177
1406786, 996.7400869784033
1406886, 996.740318689645
1406986, 996.7405503679496
1407087, 996.740073641502
1407187, 996.740305304128
1407287, 996.7405369338308
1407387, 996.7407685306173
1407488, 996.7402919243361
1407588, 996.7405235054576
1407688, 996.7407550536767
1407789, 996.7402785502657
1407889, 996.7405100828262
1407989, 996.7407415824981
1408089, 996.7409730492888
1408190, 996.7404966659329
1408290, 996.7407281170781
1408390, 996.7409595353561
1408491, 996.7404832547741
1408591, 996.740714657413
1408691, 996.7409460271983
1408791, 996.741177364137
1408892, 996.7407012034989
1408992, 996.7409325248121
1409092, 996.7411638132926
1409193, 996.7406877553323
1409293, 996.7409190281936
1409393, 996.7411502682361
1409493, 996.7413814754667
1409594, 996.740905537339
1409694, 996.741136728964
1409794, 996.7413678877907
1409895, 996.740892052245
1409995, 996.7411231954724
1410095, 996.7413543059156
1410195, 996.7415853835817
1410296, 996.7411096677577
1410396, 996.7413407298376
1410496, 996.7415717591542
1410597, 996.7410961458163
1410697, 996.741327159553
1410797, 996.7415581405404
1410897, 996.7417890887854
1410998, 996.7413135950583
1411098, 996.7415445277366
1411198, 996.7417754276863
1411299, 996.7413000363496
1411399, 996.7415309207389
1411499, 996.7417617724136
1411599, 996.7419925913804
1411700, 996.7415173195438
1411800, 996.7417481229636
1411900, 996.7419788936893
1412001, 996.7415037241475
1412101, 996.7417344793325
1412201, 996.7419652018374
1412301, 996.742195891669
1412402, 996.7417208415168
1412502, 996.7419515158209
1412602, 996.7421821574654
1412703, 996.7417072095125
1412803, 996.7419378356359
1412903, 996.7421684291137
1413003, 996.7423989899527
1413104, 996.741924161279
1413204, 996.74215470661
1413304, 996.7423852193159
1413405, 996.7419104927462
1413505, 996.7421409899505
1413605, 996.7423714545434
1413706, 996.741896830034
1413806, 996.7421272791318
1413906, 996.7423576956318
1414006, 996.7425880795414
1414107, 996.7421135741497
1414207, 996.742343942577
1414307, 996.7425742784275
1414408, 996.7420998750007
1414508, 996.7423301953754
1414608, 996.7425604831869
1414708, 996.7427907384422
1414809, 996.7423164540231
1414909, 996.7425466938157
1415009, 996.7427769010656
1415110, 996.7423027185166
1415210, 996.7425329103102
1415310, 996.7427630695748
1415411, 996.742288988852
1415511, 996.7425191326665
1415611, 996.742749243966
1415712, 996.7422752650257
1415812, 996.7425053608813
1415912, 996.7427354242354
1416012, 996.742965455095
1416113, 996.7424915949505
1416213, 996.7427216103792
1416313, 996.7429515933271
1416414, 996.7424778348703
1416514, 996.7427078023937
1416614, 996.74293773745
1416714, 996.7431676400458
1416815, 996.7426940002753
1416915, 996.7429238874598
1417015, 996.7431537421975
1417116, 996.74268020402
1417216, 996.7429100433526
1417316, 996.7431398502522
1417416, 996.7433696247256
1417517, 996.7428962051249
1417617, 996.7431259642061
1417717, 996.7433556908748
1417818, 996.7428823727729
1417918, 996.7431120840556
1418018, 996.7433417629395
1418119, 996.7428685462927
1418219, 996.7430982097969
1418319, 996.7433278409159
1418419, 996.7435574396563
1418520, 996.7430843414262
1418620, 996.7433139248002
1418720, 996.7435434758091
1418821, 996.7430704789399
1418921, 996.7433000145885
1419021, 996.7435295178859
1419121, 996.7437589888389
1419222, 996.7432861102773
1419322, 996.743515565883
1419422, 996.7437449891576
1419523, 996.7432722118627
1419623, 996.7435016197962
1419723, 996.7437309954124
1419823, 996.7439603387182
1419924, 996.7434876796223
1420024, 996.7437170075999
1420124, 996.7439463032806
1420225, 996.7434737453572
1420325, 996.743703025716
1420425, 996.7439322737913
1420525, 996.74416148959
1420626, 996.743689049757
1420726, 996.7439182502467
1420826, 996.7441474184735
1420927, 996.7436750797191
1421027, 996.743904232643
1421127, 996.7441333533175
1421228, 996.7436611155987
1421328, 996.7438902209765
1421428, 996.7441192941184
1421528, 996.744348335031
1421629, 996.7438762152432
1421729, 996.7441052408722
1421829, 996.7443342342856
1421930, 996.7438622154395
1422030, 996.7440911935754
1422130, 996.7443201395091
1422230, 996.7445490532474
1422331, 996.744077152224
1422431, 996.7443060506978
1422531, 996.7445349169896
1422632, 996.7440631168145
1422732, 996.7442919678477
1422832, 996.7445207867128
1422932, 996.744749573416
1423033, 996.7442778909555
1423133, 996.7445066624131
1423233, 996.7447354017227
1423334, 996.744263820017
1423434, 996.744492544087
1423534, 996.7447212360224
1423634, 996.7449498958299
1423735, 996.7444784317306
1423835, 996.7447070763114
1423935, 996.744935688778
1424036, 996.7444643253401
1424136, 996.7446929225861
1424236, 996.744921487731
1424336, 996.7451500207816
1424437, 996.7446787748423
1424537, 996.7449072926853
1424637, 996.7451357784474
1424737, 996.7453642321354
1424838, 996.744893103637
1424938, 996.7451215421303
1425038, 996.7453499485628
1425139, 996.7448789205826
1425239, 996.7451073118264
1425339, 996.7453356710229
1425439, 996.7455639981788
1425540, 996.7450930875318
1425640, 996.7453213995118
1425740, 996.7455496794647
1425841, 996.7450788692428
1425941, 996.7453071340259
1426041, 996.7455353667953
1426141, 996.7457635675576
1426242, 996.7452928745613
1426342, 996.7455210601664
1426442, 996.745749213778
1426542, 996.7459773354027
1426643, 996.7455067595747
1426743, 996.7457348660552
1426843, 996.7459629405619
1426944, 996.7454924650161
1427044, 996.7457205243848
1427144, 996.745948551793
1427244, 996.7461765472477
1427345, 996.745706188763
1427445, 996.7459341690923
1427545, 996.7461621174815
1427646, 996.7456918591864
1427746, 996.7459197924561
1427846, 996.7461476937989
1427946, 996.7463755632216
1428047, 996.7459054218804
1428147, 996.7461332761964
1428247, 996.7463610986055
1428348, 996.7458910573613
1428448, 996.7461188646699
1428548, 996.7463466400849
1428648, 996.746574383613
1428749, 996.7461044592158
1428849, 996.746332187656
1428949, 996.7465598842225
1429049, 996.7467875489224
1429150, 996.7463177413147
1429250, 996.7465453909393
1429350, 996.7467730087103
1429451, 996.7463033010575
1429551, 996.7465309037593
1429651, 996.7467584746207
1429752, 996.7462888668805
1429852, 996.7465164226787
1429952, 996.74674394665
1430052, 996.7469714388009
1430153, 996.7465019476938
1430253, 996.746729424794
1430353, 996.7469568700873
1430453, 996.7471842835802
1430554, 996.7467149090492
1430654, 996.7469423075041
1430754, 996.7471696741718
1430855, 996.7467003994115
1430955, 996.7469277510473
1431055, 996.7471550709092
1431156, 996.7466858958772
1431256, 996.7469132007132
1431356, 996.7471404737886
1431456, 996.7473677151096
1431557, 996.7468986564978
1431657, 996.7471258828057
1431757, 996.7473530773727
1431858, 996.7468841183971
1431958, 996.747111297957
1432058, 996.7473384457892
1432158, 996.7475655619003
1432259, 996.7470967192387
1432359, 996.7473238203552
1432459, 996.7475508897636
1432560, 996.7470821466466
1432660, 996.7473092010666
1432760, 996.7475362237918
1432860, 996.7477632148291
1432961, 996.7472945879197
1433061, 996.7475215639809
1433161, 996.7477485083671
1433261, 996.7479754210851
1433362, 996.7475069103268
1433462, 996.7477338080814
1433562, 996.7479606741808
1433663, 996.7474922628261
1433763, 996.747719113968
1433863, 996.7479459334678
1433963, 996.7481727213325
1434064, 996.7477044260228
1434164, 996.7479311989423
1434264, 996.7481579402397
1434364, 996.7483846499216
1434465, 996.7479164706006
1434565, 996.7481431653498
1434665, 996.7483698284966
1434766, 996.7479017484384
1434866, 996.7481283966586
1434966, 996.7483550132895
1435066, 996.7485815983376
1435167, 996.7481136341623
1435267, 996.7483402042965
1435367, 996.7485667428608
1435468, 996.7480988778572
1435568, 996.7483254015136
1435668, 996.7485518936134
1435768, 996.748778354163
1435869, 996.7483106049368
1435969, 996.7485370505909
1436069, 996.7487634647082
1436170, 996.7482958145624
1436270, 996.7485222137899
1436370, 996.7487485814936
1436470, 996.7489749176801
1436571, 996.7485073832063
1436671, 996.7487337045155
1436771, 996.7489599943206
1436871, 996.7491862526281
1436972, 996.7487188337699
1437072, 996.7489450772125
1437172, 996.7491712891707
1437273, 996.7487039692528
1437373, 996.7489301663521
1437473, 996.7491563319797
1437573, 996.7493824661426
1437674, 996.7489152617353
1437774, 996.7491413810516
1437874, 996.7493674689159
1437975, 996.7489003633582
1438075, 996.749126436382
1438175, 996.7493524779669
1438275, 996.7495784881194
1438376, 996.7491114979672
1438476, 996.7493374932915
1438576, 996.7495634571966
1438676, 996.7497893896889
1438777, 996.7493225148859
1438877, 996.7495484325624
1438977, 996.7497743188391
1439078, 996.7493075427461
1439178, 996.7495334142128
1439278, 996.7497592542927
1439379, 996.7492925768681
1439479, 996.7495184021441
1439579, 996.7497441960462
1439679, 996.749969958581
1439780, 996.7495033963522
1439880, 996.7497291440953
1439980, 996.7499548604841
1440081, 996.7494883968332
1440181, 996.7497140984362
1440281, 996.7499397686979
1440381, 996.7501654076248
1440482, 996.7496990590649
1440582, 996.7499246832183
1440682, 996.7501502760499
1440783, 996.7496840259776
1440883, 996.7499096040414
1440983, 996.7501351507964
1441083, 996.7503606662489
1441184, 996.7498945311632
1441284, 996.7501200318604
1441384, 996.7503455012682
1441485, 996.74987946458
1441585, 996.7501049192382
1441685, 996.7503303426199
1441785, 996.7505557347316
1441886, 996.7500898129256
1441986, 996.7503151903
1442086, 996.7505405364175
1442187, 996.7500747129186
1442287, 996.7503000443046
1442387, 996.7505253444464
1442487, 996.7507506133504
1442588, 996.7502849046297
1442688, 996.7505101588147
1442788, 996.7507353817747
1442888, 996.7509605735164
1442989, 996.7504949795182
1443089, 996.750720156553
1443189, 996.7509453023824
1443290, 996.750479806553
1443390, 996.7507049376815
1443490, 996.7509300376172
1443591, 996.7504646399153
1443691, 996.7506897251559
1443791, 996.7509147792166
1443891, 996.7511398021041
1443992, 996.7506745189723
1444092, 996.750899527177
1444192, 996.7511245042211
1444293, 996.7506593191271
1444393, 996.7508842814941
1444493, 996.7511092127133
1444593, 996.7513341127916
1444694, 996.7508690421639
1444794, 996.7510939275772
1444894, 996.7513187818622
1444995, 996.7508538091827
1445095, 996.7510786488085
1445195, 996.7513034573188
1445296, 996.7508385825464
1445396, 996.7510633764034
1445496, 996.7512881391579
1445596, 996.7515128708159
1445697, 996.7510481103578
1445797, 996.7512728273747
1445897, 996.7514975133084
1445998, 996.7510328506678
1446098, 996.7512575219661
1446198, 996.7514821621936
1446299, 996.7510175973295
1446399, 996.7512422229274
1446499, 996.7514668174675
1446600, 996.7510023503388
1446700, 996.751226930255
1446800, 996.7514514791263
1446900, 996.751675996959
1447001, 996.751211643945
1447101, 996.751436147166
1447201, 996.751660619361
1447302, 996.7511963639931
1447402, 996.7514208215824
1447502, 996.7516452481585
1447603, 996.7511810903957
1447703, 996.7514055023718
1447803, 996.7516298833474
1447903, 996.7518542333291
1448004, 996.7513901895298
1448104, 996.7516145249236
1448204, 996.7518388293362
1448305, 996.751374883053
1448405, 996.7515991728833
1448505, 996.7518234317452
1448606, 996.751359582937
1448706, 996.7515838272224
1448806, 996.751808040552
1448906, 996.7520322229323
1449007, 996.7515684879369
1449107, 996.7517926557529
1449207, 996.7520167926322
1449307, 996.7522408985811
1449408, 996.7517772773435
1449508, 996.7520013687404
1449608, 996.7522254292195
1449709, 996.7517619053203
1449809, 996.7519859512529
1449909, 996.7522099662807
1450010, 996.7517465396791
1450110, 996.751970540166
1450210, 996.7521945097606
1450310, 996.7524184484696
1450411, 996.7519551354754
1450511, 996.7521790596555
1450611, 996.7524029529625
1450712, 996.7519397371774
1450812, 996.7521636159613
1450912, 996.7523874638848
1451013, 996.7519243452678
1451113, 996.7521481786739
1451213, 996.7523719812323
1451313, 996.7525957529493
1451414, 996.7521327477893
1451514, 996.752356505001
1451614, 996.7525802313838
1451715, 996.7521173233038
1451815, 996.752341035187
1451915, 996.752564716254
1452016, 996.7521019052132
1452116, 996.7523255717863
1452216, 996.7525492075558
1452316, 996.7527728125284
1452417, 996.7523101147948
1452517, 996.7525337052854
1452617, 996.7527572649914
1452718, 996.7522946642088
1452818, 996.7525182094384
1452918, 996.7527417238963
1453019, 996.752279220024
1453119, 996.7525027200113
1453219, 996.7527261892392
1453319, 996.7529496277142
1453420, 996.7524872369996
1453520, 996.752710661016
1453620, 996.752934054292
1453721, 996.7524717603998
1453821, 996.7526951392229
1453921, 996.7529184873181
1454021, 996.753141804692
1454122, 996.7526796238554
1454222, 996.7529029267884
1454322, 996.7531261990124
1454423, 996.7526641149102
1454523, 996.7528873726989
1454623, 996.7531105997911
1454723, 996.7533337961935
1454824, 996.7528718250454
1454924, 996.7530950070245
1455024, 996.7533181583259
1455125, 996.7528562838244
1455225, 996.7530794207081
1455325, 996.753302526927
1455425, 996.7535256024872
1455526, 996.7530638408383
1455626, 996.7532869019927
1455726, 996.753509932501
1455827, 996.7530482674108
1455927, 996.753271283519
1456027, 996.7534942689937
1456127, 996.7537172238411
1456228, 996.753255671502
1456328, 996.7534786119611
1456428, 996.7537015218054
1456529, 996.7532400659376
1456629, 996.7534629613992
1456729, 996.7536858262587
1456829, 996.7539086605223
1456930, 996.7534473173042
1457030, 996.7536701371969
1457130, 996.7538929265062
1457231, 996.7534316796718
1457331, 996.753654454616
1457431, 996.7538771989892
1457532, 996.7534160484985
1457632, 996.753638778512
1457732, 996.7538614779672
1457832, 996.7540841468701
1457933, 996.7536231088808
1458033, 996.7538457634361
1458133, 996.7540683874516
1458234, 996.7536074457187
1458334, 996.753830055392
1458434, 996.7540526345381
1458535, 996.7535917890211
1458635, 996.7538143538308
1458735, 996.7540368881257
1458835, 996.7542593919121
1458936, 996.7537986587486
1459036, 996.7540211482102
1459136, 996.7542436071758
1459236, 996.7544660356515
1459337, 996.7540054147877
1459437, 996.7542278289505
1459537, 996.754450212636
1459638, 996.7539896878541
1459738, 996.7542120572322
1459838, 996.7544343961453
1459939, 996.7539739674055
1460039, 996.7541962920169
1460139, 996.7544185861758
1460240, 996.7539582534379
1460340, 996.7541805333004
1460440, 996.754402782723
1460540, 996.7546250017117
1460641, 996.754164781079
1460741, 996.7543869857832
1460841, 996.754609160066
1460942, 996.7541490353484
1461042, 996.7543711953524
1461142, 996.7545933249472
1461243, 996.7541332961048
1461343, 996.7543554114263
1461443, 996.7545774963512
1461543, 996.7547995508857
1461644, 996.7543396340012
1461744, 996.754561674274
1461844, 996.7547836841688
1461945, 996.7543238630728
1462045, 996.7545458587116
1462145, 996.7547678239846
1462246, 996.7543080986374
1462346, 996.7545300496599
1462446, 996.7547519703292
