Id, Throughput in this window (events/second), Entire throughput for the run (events/second), Total elapsed time(s), Average latency per event (ms), Entire Average latency per event (ms), Total number of events received (non-atomic),AVG latency from start (90),AVG latency from start(95), AVG latency from start (99),AVG latency in this window(90),AVG latency in this window(95),AVG latency in this window(99)
1,23,23,638.097,526929.1854666667,526929.1854666667,15000,7012876287,7449083903,7818182655,7012876287,7449083903,7818182655
2,539,45,665.899,606380.1068,566654.6461333333,30000,7616856063,8187281407,8925478911,8187281407,8657043455,9059696639
3,539,64,693.703,607825.3553333334,580378.2158666666,45000,7818182655,8455716863,8992587775,8220835839,8724152319,9059696639
4,538,83,721.579,609237.9411333334,587593.1471833333,60000,7918845951,8522825727,9059696639,8254390271,8724152319,9059696639
5,539,100,749.387,610636.0108666667,592201.71992,75000,7985954815,8556380159,9059696639,8254390271,8724152319,9126805503
6,539,115,777.172,611928.3982666667,595489.4996444444,90000,8053063679,8589934591,9059696639,8287944703,8724152319,9126805503
7,545,130,804.646,613306.5314666666,598034.789904762,105000,8086618111,8657043455,9059696639,8287944703,8791261183,9126805503
8,546,144,832.092,614595.6002,600104.8911916667,120000,8120172543,8657043455,9059696639,8321499135,8791261183,9126805503
9,539,157,859.87,615731.6515333334,601841.1978962963,135000,8153726975,8657043455,9126805503,8321499135,8791261183,9193914367
10,546,169,887.333,617085.7488666667,603365.6529933333,150000,8187281407,8724152319,9126805503,8355053567,8858370047,9193914367
11,535,180,915.367,618532.8880666667,604744.4925454545,165000,8187281407,8724152319,9126805503,8355053567,8858370047,9193914367
12,541,190,943.051,619836.5096666666,606002.1606388888,180000,8220835839,8724152319,9126805503,8388607999,8858370047,9261023231
13,546,200,970.475,621103.1647333333,607163.7763384616,195000,8220835839,8724152319,9126805503,8388607999,8858370047,9261023231
14,534,210,998.52,622391.2615333333,608251.453852381,210000,8254390271,8724152319,9126805503,8422162431,8925478911,9261023231
15,546,219,1025.989,623788.6194,609287.2648888889,225000,8254390271,8791261183,9193914367,8422162431,8925478911,9328132095
16,539,227,1053.772,625067.1732666667,610273.5091625,240000,8254390271,8791261183,9193914367,8455716863,8925478911,9328132095
17,543,235,1081.371,626501.3393333333,611228.0874078431,255000,8287944703,8791261183,9193914367,8489271295,8992587775,9328132095
18,541,243,1109.055,628190.8061333334,612170.4606703704,270000,8287944703,8791261183,9193914367,8489271295,8992587775,9328132095
19,547,250,1136.473,548260.7388,608806.7910982457,285000,8254390271,8791261183,9193914367,7482638335,7851737087,8153726975
20,534,257,1164.522,502797.06673333334,603506.30488,300000,8187281407,8724152319,9193914367,6811549695,7180648447,7482638335
21,541,264,1192.226,502565.9994,598699.6236666667,315000,8120172543,8724152319,9193914367,6811549695,7180648447,7482638335
22,548,270,1219.592,502267.9654,594316.3664727273,330000,8086618111,8657043455,9193914367,6811549695,7180648447,7482638335
