Id, Throughput in this window (events/second), Entire throughput for the run (events/second), Total elapsed time(s), Average latency per event (ms), Entire Average latency per event (ms), Total number of events received (non-atomic),AVG latency from start (90),AVG latency from start(95), AVG latency from start (99),AVG latency in this window(90),AVG latency in this window(95),AVG latency in this window(99)
1,23,23,634.373,526809.7794,526809.7794,15000,7012876287,7449083903,7818182655,7012876287,7449083903,7818182655
2,540,45,662.129,606301.0318,566555.4056,30000,7616856063,8187281407,8925478911,8187281407,8657043455,9059696639
3,553,65,689.24,607539.7957333333,580216.8689777778,45000,7818182655,8422162431,8992587775,8220835839,8657043455,9059696639
4,540,83,716.973,608784.4800666666,587358.77175,60000,7918845951,8522825727,8992587775,8220835839,8724152319,9059696639
5,541,100,744.701,610005.2484,591888.06708,75000,7985954815,8556380159,9059696639,8254390271,8724152319,9059696639
6,541,116,772.419,611265.3486,595117.614,90000,8053063679,8589934591,9059696639,8254390271,8724152319,9126805503
7,546,131,799.872,612633.5419333334,597619.8894190476,105000,8086618111,8657043455,9059696639,8287944703,8791261183,9126805503
8,540,144,827.601,613945.9574,599660.6479166667,120000,8120172543,8657043455,9059696639,8287944703,8791261183,9126805503
9,541,157,855.3,615147.2854666667,601381.3854222222,135000,8153726975,8657043455,9059696639,8321499135,8791261183,9193914367
10,541,169,883.026,616430.1185333333,602886.2587333333,150000,8153726975,8724152319,9126805503,8321499135,8791261183,9193914367
11,546,181,910.482,617808.7401333334,604242.8479515151,165000,8187281407,8724152319,9126805503,8355053567,8858370047,9193914367
12,540,191,938.211,619115.3444666667,605482.2226611112,180000,8187281407,8724152319,9126805503,8388607999,8858370047,9193914367
13,541,201,965.927,620336.213,606624.8373025641,195000,8220835839,8724152319,9126805503,8388607999,8858370047,9261023231
14,534,211,993.97,621778.7022,607707.2562238096,210000,8220835839,8724152319,9126805503,8422162431,8925478911,9261023231
15,546,220,1021.433,623234.6456,608742.4155155555,225000,8254390271,8724152319,9126805503,8422162431,8925478911,9261023231
16,540,228,1049.171,624472.6296666666,609725.5539,240000,8254390271,8791261183,9193914367,8455716863,8925478911,9328132095
17,545,236,1076.654,625782.8614,610670.1014,255000,8287944703,8791261183,9193914367,8455716863,8925478911,9328132095
18,534,244,1104.711,627489.7673333334,611604.5272851852,270000,8287944703,8791261183,9193914367,8489271295,8992587775,9328132095
19,534,251,1132.774,546232.1271333334,608163.8746456141,285000,8220835839,8791261183,9193914367,7449083903,7818182655,8120172543
20,507,258,1162.34,503461.43053333333,602928.75244,300000,8187281407,8724152319,9193914367,6811549695,7180648447,7482638335
21,523,264,1190.998,504999.5764,598265.4583428572,315000,8120172543,8724152319,9193914367,6845104127,7214202879,7516192767
22,524,270,1219.607,505724.58773333335,594059.0551333333,330000,8086618111,8657043455,9193914367,6845104127,7214202879,7516192767
