events in window,maxHumidity
1000, 9984
1000, 9998
1000, 9985
1000, 9998
1000, 9990
1000, 9965
1000, 9971
1000, 9985
1000, 9994
1000, 9981
1000, 9985
1000, 9999
1000, 9965
1000, 9982
1000, 9997
1000, 9992
1000, 9995
1000, 9997
1000, 9977
1000, 9994
1000, 9972
1000, 9979
1000, 9999
1000, 9996
1000, 9997
1000, 9997
1000, 9999
1000, 9998
1000, 9993
1000, 9996
1000, 9986
1000, 9981
1000, 9987
1000, 9996
1000, 9997
1000, 9993
1000, 9994
1000, 9997
1000, 9984
1000, 9986
1000, 9978
1000, 9999
1000, 9994
1000, 9993
1000, 9987
1000, 9995
1000, 9989
1000, 9989
1000, 9968
1000, 9997
1000, 9997
1000, 9999
1000, 9994
1000, 9996
1000, 9993
1000, 9995
1000, 9996
1000, 9988
1000, 9999
1000, 9996
1000, 9996
1000, 9995
1000, 9999
1000, 9997
1000, 9996
1000, 9996
1000, 9999
1000, 9998
1000, 9998
1000, 9993
1000, 9999
1000, 9998
1000, 9977
1000, 9998
1000, 9996
1000, 9989
1000, 9998
1000, 9991
1000, 9972
1000, 9993
1000, 9996
1000, 9985
1000, 9978
1000, 9999
1000, 9986
1000, 9995
1000, 9997
1000, 9991
1000, 9992
1000, 9979
1000, 9991
1000, 9985
1000, 9994
1000, 9994
1000, 9992
1000, 9998
1000, 9998
1000, 9994
1000, 9993
