events in window,maxHumidity
1000, 9984
1000, 9998
1000, 9985
1000, 9998
1000, 9990
1000, 9965
1000, 9971
1000, 9985
1000, 9994
1000, 9981
1000, 9985
1000, 9999
1000, 9965
1000, 9982
1000, 9997
1000, 9992
344, 9992
1000, 9997
1000, 9977
1000, 9994
1000, 9972
1000, 9979
1000, 9999
1000, 9996
1000, 9997
1000, 9997
1000, 9999
1000, 9998
130, 9989
275, 9980
1000, 9986
934, 9981
373, 9987
836, 9996
504, 9989
1000, 9993
1000, 9994
1000, 9997
572, 9984
742, 9986
388, 9973
913, 9997
1000, 9994
383, 9993
939, 9987
970, 9995
344, 9989
1000, 9989
1000, 9968
1000, 9997
397, 9995
948, 9999
1000, 9994
1000, 9996
1000, 9993
1000, 9995
671, 9995
641, 9988
1000, 9999
1000, 9996
1000, 9996
1000, 9995
1000, 9999
1000, 9997
1000, 9996
318, 9979
994, 9999
315, 9900
1000, 9998
1000, 9993
586, 9999
719, 9998
1000, 9977
1000, 9998
1000, 9996
336, 9943
964, 9998
975, 9991
297, 9950
750, 9993
572, 9981
617, 9972
706, 9978
377, 9974
922, 9986
1000, 9995
1000, 9997
1000, 9991
1000, 9992
1000, 9979
563, 9991
734, 9985
990, 9994
304, 9994
1000, 9992
1000, 9998
950, 9998
389, 9992
1000, 9993
