events in window,maxHumidity
74, 9984
79, 9998
52, 9985
60, 9998
72, 9990
53, 9965
53, 9971
66, 9985
50, 9994
69, 9981
60, 9985
62, 9999
63, 9965
63, 9982
53, 9997
45, 9992
52, 9995
52, 9997
61, 9977
46, 9994
51, 9972
52, 9979
59, 9999
58, 9996
58, 9997
61, 9997
57, 9999
62, 9998
51, 9993
58, 9996
58, 9986
64, 9981
58, 9987
71, 9996
55, 9997
51, 9993
56, 9994
59, 9997
69, 9984
60, 9986
59, 9978
49, 9999
71, 9994
53, 9993
48, 9987
64, 9995
76, 9989
51, 9989
56, 9968
61, 9997
70, 9997
68, 9999
54, 9994
56, 9996
69, 9993
60, 9995
57, 9996
56, 9988
48, 9999
64, 9996
57, 9996
61, 9995
57, 9999
65, 9997
64, 9996
59, 9996
68, 9999
50, 9998
63, 9998
51, 9993
43, 9999
55, 9998
62, 9977
53, 9998
61, 9996
57, 9989
43, 9998
66, 9991
50, 9972
54, 9993
65, 9996
53, 9985
58, 9978
65, 9999
63, 9986
65, 9995
65, 9997
56, 9991
51, 9992
66, 9979
61, 9991
50, 9985
52, 9994
54, 9994
58, 9992
57, 9998
48, 9998
52, 9994
60, 9993
