events in window,avgHumidity
 406, 5301.857142857143
 434, 4912.670506912443
 207, 5222.028985507246
 231, 5337.350649350649
 436, 4942.220183486239
 189, 4907.7037037037035
 247, 5058.923076923077
 437, 5070.3569794050345
 136, 4838.705882352941
 302, 4947.241721854305
 86, 4635.209302325581
 561, 5073.727272727273
 47, 5355.021276595745
 681, 4978.469897209985
 26, 5585.038461538462
 390, 5132.71282051282
 259, 4932.046332046332
 231, 5010.051948051948
 186, 5014.354838709677
 609, 4922.939244663383
 193, 5029.5233160621765
 141, 4616.595744680851
 400, 4677.7175
 346, 4875.751445086706
 631, 5198.042789223455
 169, 4950.08875739645
 362, 5028.651933701657
 258, 5099.089147286822
 406, 5187.036945812808
 474, 5016.132911392405
 190, 5187.978947368421
 101, 5094.772277227723
 591, 5127.800338409475
 87, 4730.873563218391
 618, 4870.132686084143
 541, 4999.48798521257
 260, 5221.284615384616
 233, 5072.369098712446
 109, 5064.211009174312
 307, 5011.28338762215
 562, 4952.099644128114
 78, 5069.461538461538
 682, 4948.989736070381
 539, 5005.165120593692
 303, 5164.402640264027
 422, 5044.6469194312795
 253, 5168.403162055336
 376, 5087.473404255319
 403, 4998.248138957816
 256, 4876.20703125
 520, 4970.1038461538465
 359, 5081.320334261838
 310, 4914.851612903226
 114, 5005.131578947368
 1103, 4949.689936536718
 336, 5093.443452380952
 260, 4859.784615384616
 233, 5088.6137339055795
 373, 4933.064343163539
 370, 4881.691891891892
 527, 4964.011385199241
 262, 4983.8702290076335
 361, 5006.698060941828
 607, 4950.037891268534
 133, 4899.390977443609
 535, 4816.906542056075
 362, 5203.5110497237565
 390, 4874.330769230769
 357, 5103.218487394958
 335, 5123.611940298508
 434, 5091.820276497696
 289, 4817.730103806229
 425, 5062.642352941177
 552, 4906.324275362319
 406, 5063.834975369458
 791, 4979.73577749684
 261, 5058.544061302682
 431, 5104.2900232018565
 257, 5359.291828793775
 366, 4958.120218579235
 249, 4892.349397590361
 490, 4921.759183673469
 184, 5025.565217391304
 274, 5100.394160583942
 573, 4901.795811518325
 259, 5110.718146718146
 364, 4861.56043956044
 604, 4923.4586092715235
 308, 4832.8441558441555
 444, 5024.731981981982
 387, 5064.777777777777
 602, 4847.431893687708
 664, 4897.243975903614
 268, 5215.492537313433
 192, 5034.052083333333
 567, 5129.37037037037
 233, 5220.845493562232
 697, 5196.246771879483
 607, 5097.103789126853
 70, 5704.6
 419, 4934.9212410501195
 260, 5026.076923076923
 314, 5123.4363057324845
 428, 4848.362149532711
 590, 4915.425423728813
 99, 5086.757575757576
 694, 5009.002881844381
 249, 5120.369477911647
 330, 5060.045454545455
 689, 5146.181422351234
 257, 4963.747081712062
 465, 4863.14623655914
 87, 4634.241379310345
 469, 5026.835820895522
 440, 4834.854545454546
 169, 5096.94674556213
 268, 4952.44776119403
 523, 4969.801147227534
 671, 5000.86736214605
 145, 5069.8
 456, 5014.098684210527
 522, 5082.0038314176245
 204, 5022.921568627451
 647, 4946.879443585781
 258, 5153.333333333333
 379, 4980.374670184697
 83, 5104.698795180723
 948, 5014.12552742616
 251, 4761.900398406375
 360, 4968.697222222222
 762, 4896.653543307087
 655, 5123.305343511451
 280, 4703.646428571428
 122, 5076.950819672131
 634, 4819.473186119873
 729, 5189.2935528120715
 261, 4621.659003831418
 295, 4943.108474576271
 610, 4794.255737704918
 676, 5059.764792899408
 73, 5065.397260273972
 266, 4906.150375939849
 784, 4977.197704081633
 261, 4664.348659003831
 273, 5029.080586080586
 606, 4893.445544554455
 238, 5211.512605042017
 445, 5176.45393258427
 368, 5024.866847826087
 94, 4811.13829787234
 744, 5032.284946236559
 611, 4638.211129296235
 304, 5008.957236842105
 259, 5063.343629343629
 315, 4998.6349206349205
 609, 5123.262725779967
 436, 5232.704128440367
 256, 4862.54296875
 392, 5005.076530612245
 624, 4925.078525641025
 557, 5052.811490125673
 260, 4971.753846153846
 441, 5184.501133786848
 606, 5004.440594059406
 35, 5183.914285714286
 460, 4923.952173913043
 259, 5135.305019305019
 164, 4968.90243902439
