events in window,avgHumidity
 450, 5262.277777777777
 393, 4979.959287531807
 357, 5151.3725490196075
 76, 5976.25
 424, 4957.304245283019
 436, 4993.371559633028
 93, 5174.612903225807
 342, 5048.432748538012
 433, 4901.928406466513
 203, 4781.487684729064
 282, 5072.152482269504
 151, 5009.397350993378
 508, 5081.452755905511
 264, 4738.435606060606
 484, 4966.822314049587
 362, 4910.566298342542
 185, 5275.34054054054
 90, 4754.944444444444
 270, 5090.362962962963
 271, 4903.752767527675
 579, 4935.119170984456
 534, 4918.582397003745
 207, 5002.169082125604
 432, 5162.715277777777
 307, 4836.299674267101
 504, 5097.063492063492
 358, 5105.005586592179
 140, 4874.107142857143
 670, 5145.991044776119
 117, 4831.948717948718
 621, 5181.067632850241
 201, 5150.9701492537315
 35, 4922.942857142857
 424, 5035.601415094339
 215, 4752.069767441861
 495, 4908.242424242424
 386, 5071.886010362694
 346, 5258.49710982659
 13, 6067.538461538462
 344, 5014.497093023256
 677, 5039.562776957164
 126, 4508.761904761905
 88, 5055.170454545455
 517, 5139.586073500967
 311, 4944.694533762058
 485, 4916.80824742268
 448, 5372.107142857143
 561, 5078.606060606061
 91, 5472.087912087912
 377, 5101.145888594165
 1024, 5009.796875
 80, 4886.4375
 164, 5089.4390243902435
 140, 5218.078571428571
 317, 5205.072555205047
 603, 4926.935323383084
 345, 4840.602898550725
 667, 5011.452773613193
 23, 4850.086956521739
 344, 4772.383720930233
 527, 5015.081593927894
 359, 4996.994428969359
 293, 4977.665529010239
 535, 4696.628037383178
 506, 5139.873517786561
 165, 4689.545454545455
 84, 5628.797619047619
 415, 5051.4385542168675
 111, 5365.117117117117
 144, 5071.951388888889
 397, 4933.133501259445
 694, 5141.419308357349
 442, 4940.022624434389
 382, 5010.3167539267015
 100, 5105.18
 561, 5175.071301247772
 347, 4869.383285302593
 257, 5011.630350194552
 496, 5052.215725806452
 388, 5123.56443298969
 269, 5098.204460966543
 257, 5088.47859922179
 673, 4900.676077265974
 458, 4823.430131004367
 532, 5016.868421052632
 502, 5213.404382470119
 384, 5217.453125
 431, 4747.241299303944
 139, 4810.913669064748
 68, 4798.544117647059
 512, 4930.619140625
 129, 5194.15503875969
 668, 5046.820359281437
 779, 5141.406931964057
 651, 4865.47465437788
 134, 4600.567164179104
 176, 5324.363636363636
 404, 4905.59405940594
 357, 5044.887955182073
 279, 5072.913978494624
 203, 5021.79802955665
 681, 4951.444933920705
 189, 5275.391534391534
 288, 5201.135416666667
 97, 5156.309278350515
 398, 5046.540201005025
 360, 4904.877777777778
 676, 5067.584319526627
 354, 5374.163841807909
 293, 4977.129692832765
 595, 5046.828571428571
 278, 5004.13309352518
 512, 5209.2421875
 259, 4911.347490347491
 87, 5084.666666666667
 94, 5277.648936170212
 693, 4847.285714285715
 550, 5050.647272727273
 433, 4964.745958429561
 878, 5075.685649202734
 82, 4439.158536585366
 21, 5323.0952380952385
 193, 4813.119170984456
 361, 5060.7783933518
 117, 4237.452991452991
 356, 4945.831460674157
 470, 4856.1553191489365
 172, 4838.2558139534885
 196, 4961.877551020408
 357, 4854.016806722689
 270, 5011.885185185185
 295, 4571.725423728813
 395, 4844.291139240507
 377, 4923.726790450928
 443, 4993.259593679458
 112, 4874.517857142857
 1261, 4984.177636796194
 395, 5004.5518987341775
 32, 4709.59375
 407, 4885.906633906634
 441, 4861.6984126984125
 223, 5055.847533632287
 224, 4992.924107142857
 663, 5023.924585218703
 15, 5493.8
 541, 4885.526802218114
 332, 4799.19578313253
 180, 4969.344444444445
 228, 5180.184210526316
 358, 4906.111731843575
 289, 4916.525951557093
 291, 4926.470790378007
 473, 5046.608879492601
 775, 5028.141935483871
 359, 4999.83008356546
 540, 5008.95
 52, 4814.7692307692305
 21, 5187.285714285715
 582, 4935.676975945017
 173, 4765.0346820809245
 340, 4927.185294117647
 418, 4876.3421052631575
 423, 4901.229314420803
 593, 4952.440134907251
 359, 5280.657381615599
 236, 5036.088983050848
 289, 4915.103806228373
 271, 5033.833948339483
 695, 5023.906474820144
 101, 5479.584158415842
 1, 173.0
 287, 4632.01393728223
 223, 4873.605381165919
 690, 5104.439130434783
 13, 5878.461538461538
 232, 4760.625
 452, 4951.121681415929
 116, 4960.448275862069
 888, 5252.083333333333
 151, 5155.105960264901
 624, 5011.474358974359
 289, 5160.7923875432525
 423, 5081.054373522458
 315, 4757.980952380953
 325, 5021.492307692308
 274, 5039.13503649635
 376, 5070.106382978724
 140, 5043.257142857143
 215, 4992.897674418605
 387, 4956.555555555556
