events in window,avgHumidity
 1315, 5157.543726235742
 807, 5013.736059479554
 753, 4987.815405046481
 939, 5077.71458998935
 875, 4993.795428571429
 518, 4973.658301158302
 929, 5077.824542518837
 1178, 4807.0526315789475
 1366, 5073.96925329429
 1262, 5096.255942947702
 1124, 4898.637010676157
 1068, 5198.048689138577
 1066, 4969.273921200751
 1043, 4992.971236816875
 1071, 5215.169000933707
 1047, 5045.665711556829
 1055, 5026.323222748815
 1058, 4922.114366729678
 1061, 4797.884071630538
 1042, 5001.207293666027
 991, 4967.096871846619
 768, 5179.076822916667
 1088, 5056.806985294118
 1093, 5087.785910338518
 1453, 5036.175498967653
 1089, 4977.570247933884
 1101, 5124.475022706631
 1062, 5053.277777777777
 1064, 4914.582706766917
 1057, 4982.716177861873
 1054, 5079.0056925996205
 1040, 5130.989423076923
 1055, 5012.831279620853
 1071, 5015.710550887022
 1048, 5085.124045801526
 1008, 5044.9265873015875
 999, 5006.466466466466
 791, 5035.26422250316
 1123, 4850.314336598397
 1055, 5047.35355450237
 1197, 5127.668337510443
 1072, 4994.175373134329
 1362, 5037.289280469897
 982, 4994.644602851324
 1022, 4912.265166340509
 841, 5103.121284185493
 1235, 4947.165182186235
 1266, 5018.803317535545
 1376, 4982.6504360465115
 1006, 4988.678926441352
 894, 5181.779642058165
 1170, 4908.08376068376
 1468, 5064.820844686648
 1030, 4847.91359223301
 1032, 4973.772286821705
 919, 5084.91077257889
 901, 5029.388457269701
 466, 4998.751072961373
