events in window,avgHumidity
 217, 5067.2811059907835
 343, 4890.373177842565
 688, 5374.497093023256
 437, 4963.727688787186
 405, 5058.664197530864
 120, 4975.225
 339, 5030.613569321534
 435, 4901.7402298850575
 436, 4936.729357798165
 165, 5224.866666666667
 489, 5079.042944785276
 142, 4890.56338028169
 157, 5012.949044585987
 855, 5052.844444444445
 143, 5101.699300699301
 313, 4876.29392971246
 302, 4840.566225165563
 609, 4917.047619047619
 230, 5099.830434782609
 294, 4785.010204081633
 451, 5113.017738359202
 258, 5160.736434108527
 419, 4977.894988066826
 756, 5125.64417989418
 260, 4909.515384615384
 126, 5253.8650793650795
 298, 4728.201342281879
 645, 4847.342635658914
 258, 5026.837209302325
 207, 4746.202898550725
 301, 5077.076411960133
 454, 5099.436123348018
 259, 4742.4980694980695
 589, 5056.544991511036
 178, 5425.039325842697
 257, 4988.603112840467
 877, 5103.251995438996
 296, 5051.5574324324325
 152, 4773.690789473684
 238, 4959.470588235294
 644, 5036.259316770186
 98, 4855.84693877551
 502, 4881.719123505976
 257, 4802.1322957198445
 378, 5087.137566137566
 484, 4790.409090909091
 258, 4961.162790697675
 463, 4871.183585313175
 259, 4795.355212355213
 652, 4960.049079754601
 156, 5167.134615384615
 260, 4833.242307692308
 667, 5038.331334332834
 671, 5032.0521609538
 258, 5396.31007751938
 859, 5221.481955762514
 259, 5231.451737451737
 351, 4907.678062678063
 681, 4834.346549192364
 288, 4948.336805555556
 609, 5058.228243021346
 326, 5139.579754601227
 427, 4792.831381733021
 612, 5080.259803921569
 102, 5156.009803921569
 447, 5146.512304250559
 256, 5073.27734375
 392, 5059.617346938776
 256, 5259.75
 641, 5176.897035881435
 249, 4876.666666666667
 354, 5188.4350282485875
 258, 5061.422480620155
 435, 5112.0344827586205
 114, 4653.368421052632
 606, 5013.1749174917495
 462, 4988.134199134199
 661, 4874.077155824509
 33, 4613.454545454545
 115, 5104.286956521739
 878, 4808.452164009112
 885, 5010.804519774011
 506, 4985.851778656126
 259, 5048.72972972973
 250, 4883.812
 604, 5163.503311258278
 501, 4691.786427145708
 611, 5056.098199672668
 423, 5008.881796690307
 84, 4829.761904761905
 441, 5013.090702947846
 354, 4594.118644067797
 609, 4838.574712643678
 173, 5038.086705202312
 608, 5037.496710526316
 555, 4877.944144144144
 182, 4524.818681318681
 245, 4914.183673469388
 877, 5078.001140250855
 259, 4646.818532818533
 812, 5003.9421182266005
 261, 4949.241379310345
 264, 5104.386363636364
 608, 5074.450657894737
 275, 4695.134545454545
 595, 4940.956302521008
 427, 5031.060889929742
 216, 5090.273148148148
 260, 4653.957692307692
 633, 5006.661927330174
 296, 4751.7972972972975
 438, 5067.810502283105
 271, 5261.487084870849
