event count, distinct count
1,67
2,33
3,69
4,77
5,54
6,50
7,50
8,50
9,50
10,50
11,50
12,50
13,50
14,50
15,50
16,50
17,50
18,50
19,50
20,50
21,50
22,50
23,50
24,50
25,50
26,50
27,50
28,50
29,52
30,81
31,67
32,50
33,50
34,50
35,50
36,50
37,50
38,50
39,50
40,50
41,50
42,50
43,50
44,50
45,50
46,50
47,50
48,50
49,50
50,50
51,50
52,50
53,50
54,50
55,50
56,50
57,79
58,71
59,50
60,50
61,50
62,50
63,50
64,50
65,50
66,50
67,50
68,50
69,50
70,50
71,50
72,50
73,50
74,50
75,50
76,50
77,50
78,50
79,50
80,50
81,50
82,50
83,69
84,81
85,50
86,50
87,50
88,50
89,44
90,56
91,50
92,50
93,50
94,54
95,46
96,49
97,51
98,50
99,50
100,50
101,78
102,72
103,50
104,50
105,50
106,50
107,56
108,44
109,50
110,50
111,51
112,49
113,50
114,52
115,48
116,50
117,75
118,75
119,50
120,43
121,57
122,50
123,50
124,50
125,50
126,50
127,50
128,50
129,50
130,50
131,50
132,48
133,91
134,61
135,50
136,59
137,41
138,50
139,50
140,50
141,50
142,50
143,50
144,50
145,50
146,50
147,50
148,46
149,104
150,50
151,50
152,46
153,54
154,52
155,55
156,44
157,50
158,50
159,50
160,50
161,56
162,94
163,50
164,50
165,50
166,50
167,50
168,50
169,101
170,12
171,43
172,2
173,50
174,142
175,50
176,50
177,50
178,49
179,51
180,50
181,50
182,56
183,45
184,50
185,55
186,56
187,88
188,50
189,49
190,1
