event count, distinct count
1,50
2,50
3,23
4,27
5,50
6,20
7,31
8,49
9,9
10,44
11,18
12,86
13,65
14,32
15,35
16,26
17,97
18,7
19,52
20,76
21,29
22,39
23,15
24,67
25,56
26,67
27,22
28,37
29,69
30,40
31,80
32,25
33,51
34,57
35,40
36,32
37,65
38,71
39,41
40,71
41,41
42,62
43,70
44,31
45,82
46,32
47,21
48,39
49,137
50,35
51,53
52,22
53,76
54,67
55,32
56,70
57,32
58,75
59,31
60,34
61,22
62,80
63,72
64,37
65,72
66,15
67,57
68,39
69,74
70,46
71,72
72,37
73,14
74,106
75,72
76,80
77,49
78,36
79,86
80,21
81,47
82,56
83,73
84,32
85,53
86,62
87,59
88,32
89,83
90,40
91,81
92,36
93,54
94,90
95,21
96,34
97,32
98,75
99,32
100,75
101,33
102,31
103,86
104,33
105,59
106,60
107,34
108,32
109,73
110,73
111,31
112,85
113,28
114,25
115,97
116,66
117,47
118,65
119,60
120,19
121,55
122,46
123,72
124,16
125,83
126,85
127,88
128,64
129,61
130,34
131,72
132,22
133,18
134,20
135,34
136,126
137,103
138,32
139,56
140,63
141,32
142,52
143,72
144,40
145,31
146,49
147,62
148,74
149,74
150,34
151,31
152,28
153,12
154,122
155,32
156,37
157,32
158,70
159,32
160,45
161,82
162,62
163,117
164,40
165,16
166,81
167,67
168,54
169,51
170,27
171,90
172,42
