event count, distinct count
1,90
2,85
3,85
4,85
5,85
6,85
7,59
8,88
9,87
10,85
11,84
12,83
13,86
14,87
15,84
16,86
17,87
18,86
19,86
20,86
21,86
22,85
23,83
24,81
25,93
26,95
27,98
28,93
29,89
30,94
31,98
32,96
33,96
34,92
35,93
36,94
37,95
38,93
39,96
40,93
41,92
42,95
43,95
44,94
45,94
46,94
47,95
48,94
49,95
50,94
51,96
52,94
53,94
54,94
55,94
56,94
57,94
58,96
59,94
60,95
61,95
62,92
63,95
64,93
65,94
66,92
67,92
68,97
69,95
70,89
71,95
72,98
73,94
74,94
75,96
76,95
77,95
78,94
79,96
80,96
81,96
82,95
83,96
84,95
85,96
86,95
87,95
88,95
89,95
90,96
91,95
92,95
93,96
94,93
95,96
96,93
97,92
98,95
99,99
100,93
101,92
102,96
103,100
104,94
105,96
106,94
107,94
108,90
109,95
110,96
111,23
