event count, actual distinct count
1,1125
2,747
3,790
4,830
5,852
6,854
7,683
8,860
9,855
10,852
11,856
12,853
13,829
14,854
15,861
16,835
17,857
18,843
19,815
20,860
21,845
22,853
23,851
24,853
25,854
26,847
27,849
28,845
29,851
30,848
31,854
32,851
33,851
34,853
35,853
36,847
37,853
38,884
39,920
40,914
41,914
42,911
43,911
44,920
45,912
46,928
47,916
48,916
49,923
50,923
51,905
52,926
53,915
54,917
55,911
56,921
57,887
58,902
59,891
60,951
61,935
62,902
63,907
64,896
65,903
66,921
67,946
68,915
69,919
70,924
71,917
72,930
73,907
74,914
75,923
76,920
77,902
78,918
79,918
80,927
81,914
82,923
83,906
84,908
85,910
86,916
87,922
88,922
89,892
90,927
91,901
92,891
93,907
94,924
95,892
96,907
97,917
98,949
99,867
100,907
101,934
102,932
103,921
104,931
105,919
106,904
107,880
108,906
109,903
110,928
111,915
112,915
113,79
