event count, actual distinct count
1,376
2,322
3,216
4,340
5,456
6,1105
7,691
8,808
9,932
10,938
11,877
12,877
13,931
14,866
15,745
16,882
17,865
18,990
19,1063
20,914
21,986
22,1023
23,1057
24,1015
25,945
26,981
27,953
28,950
29,949
30,952
31,949
32,945
33,934
34,940
35,926
36,938
37,950
38,952
39,931
40,875
41,956
42,932
43,949
44,942
45,967
46,979
47,900
48,950
49,951
50,954
51,942
52,950
53,954
54,973
55,941
56,948
57,949
58,943
59,939
60,945
61,949
62,934
63,928
64,928
65,951
66,934
67,945
68,940
69,946
70,875
71,937
72,929
73,936
74,967
75,947
76,947
77,959
78,960
79,954
80,951
81,932
82,946
83,937
84,933
85,936
86,945
87,940
88,961
89,961
90,935
91,931
92,958
93,941
94,940
95,932
96,945
97,876
98,915
99,923
100,953
101,995
102,928
103,917
104,904
105,966
106,968
107,717
108,684
109,650
110,585
111,638
112,14
