event count, actual distinct count
1,147
2,910
3,833
4,881
5,519
6,1513
7,1759
8,1884
9,810
10,779
11,1326
12,1555
13,1595
14,1587
15,373
16,1215
17,1288
18,1725
19,1844
20,1907
21,1912
22,1941
23,1963
24,1876
25,1909
26,1911
27,1787
28,1927
29,1928
30,1824
31,1830
32,1764
33,1826
34,1863
35,1813
36,1914
37,1772
38,1781
39,1852
40,1633
41,1833
42,1782
43,1840
44,1964
45,1885
46,1900
47,1697
48,1878
49,1886
50,1818
51,1959
52,1879
53,1901
54,1768
55,1765
56,1699
57,1870
58,1811
59,1952
60,1952
61,1847
62,1827
63,1750
64,1790
65,1649
66,1866
67,1835
68,1773
69,1886
70,1839
71,1709
72,1889
73,1656
74,1852
75,1884
76,1928
77,1749
78,1812
79,1819
80,1875
81,1869
82,1798
83,1886
84,1809
85,1189
86,1944
87,1926
88,1839
89,1516
90,1412
91,2125
92,2240
93,2016
94,1839
95,1824
96,1963
97,1938
98,1789
99,2002
100,1768
101,2034
102,1820
103,1721
104,1937
105,1603
106,1652
107,1819
108,1739
109,1726
110,1552
111,1758
112,1696
113,1711
114,1594
115,1546
116,1381
117,1323
118,1221
119,1276
120,1364
121,1455
122,1346
123,1401
124,1374
125,1259
126,1201
127,1286
128,1117
129,1338
130,1345
131,1416
132,1564
133,1846
134,1830
135,1340
