event count, actual distinct count
1,488
2,1707
3,3692
4,3720
5,2131
6,6059
7,6619
8,6522
9,4159
10,7455
11,9044
12,7759
13,10024
14,9239
15,8775
16,8903
17,9193
18,8662
19,8610
20,8951
21,8605
22,8790
23,8980
24,8760
25,8910
26,8608
27,8705
28,8855
29,8919
30,8656
31,8930
32,6899
33,8592
34,7996
35,7718
36,8308
37,7341
38,8179
39,7399
40,9115
41,8959
42,8690
43,8345
44,7903
45,8835
46,9465
47,8978
48,9565
49,8054
50,8771
51,8189
52,8446
53,7797
54,7454
55,9090
56,9668
57,9789
58,8084
59,7797
60,7233
61,7103
62,6876
63,7906
64,8573
65,8297
66,9078
67,8606
68,9110
69,7949
70,8679
71,8339
72,9330
73,8936
74,8753
75,9064
76,8244
77,9320
78,8709
79,9116
80,9253
81,8640
82,9066
83,8550
84,8326
85,8630
86,8888
87,8187
88,8554
89,8656
90,8361
91,8810
92,8760
93,8433
94,8725
95,8314
96,8795
97,8575
98,8459
99,7455
100,8672
101,8298
102,7707
103,8483
104,8178
105,8030
106,7940
107,7349
108,7575
109,8266
110,8040
111,8273
112,8045
113,8728
114,8505
115,8250
116,8370
117,8038
118,7887
119,5920
120,6965
121,8642
122,8060
