event count, avg, time spent
1,299076.0, 0
2,511897.3366336634, 193
3,512185.68137254904, 267
4,511555.76411960134, 289
5,508610.0523690773, 318
6,512364.0298804781, 354
7,510959.68801313627, 374
8,508566.77175463625, 415
9,507706.5855181024, 450
10,507029.41953385127, 568
11,509634.24875124876, 699
12,507950.86830154405, 836
13,505421.68359700247, 971
14,507634.26287471177, 1098
15,509868.431834404, 1226
16,513266.0646235843, 1340
17,513676.59650218615, 1462
18,512365.6984126984, 1600
19,513202.56746252085, 1721
20,512548.0604944766, 1885
21,510081.3968015992, 1987
22,508626.2770109472, 2103
23,505775.14266242617, 2227
24,504341.61929595825, 2345
25,503965.77217825904, 2464
26,504270.59256297484, 2623
27,503757.0595924644, 2740
28,504293.3917067753, 2866
29,505215.13102463406, 3008
30,505864.75180972076, 3121
31,505664.93002332555, 3246
32,505910.57433086104, 3362
33,505756.20587316464, 3476
34,505916.1239018479, 3596
35,506039.97618347546, 3714
36,505881.4678663239, 3831
37,506705.2846431547, 3953
38,505776.0859227236, 4071
39,504869.18153117603, 4198
40,505327.8843886183, 4315
41,505437.5783554111, 4434
42,504398.9892709095, 4556
43,504606.3056415139, 4670
44,504560.5122064636, 4783
45,504736.7641445126, 4895
46,505396.78049322375, 5013
47,506332.89545750926, 5145
48,506351.93192937673, 5260
49,506235.2176629869, 5377
50,505843.43623750255, 5494
51,506191.1649670066, 5617
52,506499.7939619682, 5732
53,506527.5116323784, 5845
54,506538.39445387665, 5963
55,506830.3936308091, 6104
56,506909.28413015814, 6219
57,506557.09034101054, 6480
58,505980.9358007367, 6620
59,505099.4395793829, 6735
60,505015.7029317065, 6850
61,504837.1906348942, 6970
62,505406.6423537125, 7088
63,505125.92404450895, 7216
64,505865.4653229646, 7324
65,505850.9087642556, 7441
66,505462.9752345793, 7592
67,506017.66777760943, 7717
68,505283.8515146993, 7865
69,504892.5303631819, 7979
70,505199.4726851181, 8088
71,505376.03370947007, 8209
72,505364.43838895933, 8319
73,504298.11665046524, 8438
74,504445.9472674976, 8553
75,503835.83475206053, 8651
76,503916.5348620184, 8770
77,504478.1565583476, 8883
78,504255.2411375146, 8998
79,503521.7609280861, 9141
80,503205.7082647766, 9269
81,503032.9388826397, 9383
82,503346.73793358845, 9506
83,503241.0938909889, 9639
84,503039.35839055537, 9754
85,503038.6101654565, 9870
86,502682.8507234443, 9989
87,502670.93361237063, 10104
88,503150.25985518907, 10226
89,503132.19395523233, 10335
90,502844.99202336813, 10448
91,503130.17253638484, 10566
92,503955.94000659266, 10681
93,503668.58634930983, 10798
94,503448.86517578753, 10922
95,503463.43974045315, 11042
96,503418.78444374277, 11160
97,503550.7705447349, 11275
98,503043.6859086692, 11395
99,502865.32670135703, 11511
100,502982.68528431474, 11632
101,502710.45665433456, 11748
102,502077.93406593404, 11865
103,502264.8109989217, 11981
104,502052.34452965733, 12101
105,502186.75617729063, 12222
106,502465.8067803066, 12344
107,502512.91764927836, 12460
108,502370.01130735443, 12580
109,502487.8824182946, 12698
110,502034.9259700945, 12815
111,501998.2353422416, 12936
112,502077.7536257995, 13051
113,502122.08927774307, 13169
114,502058.81992744, 13284
115,502180.62275239016, 13402
116,502046.8087122859, 13514
117,502711.1326609775, 13631
118,502901.43714212463, 13751
119,502829.0111007542, 13867
120,502320.783547601, 13983
121,502050.3163903008, 14101
122,501752.34030245437, 14217
123,502239.1265470043, 14335
124,502111.57092919276, 14454
125,501691.49649221834, 14570
126,501231.5958723302, 14686
127,501131.5468613602, 14808
128,500854.9129202425, 14925
129,500862.47402546677, 15042
130,501241.2177350593, 15160
131,501441.0079224675, 15277
132,501484.1753301275, 15404
133,501381.52071812743, 15519
134,501395.95504097437, 15638
135,501300.04798149393, 15755
136,501297.75231464335, 15871
137,501370.1207999412, 15987
