event count, avg, time spent
1,299076.0, 0
2,429977.85714285716, 8
3,399747.3846153846, 11
4,388131.6842105263, 56
5,467338.32, 58
6,456598.0967741936, 67
7,473182.8108108108, 82
8,494576.9767441861, 88
9,467191.6530612245, 89
10,464791.89090909093, 89
11,462892.2295081967, 90
12,460701.5223880597, 90
13,458997.30136986304, 92
14,453911.4875, 96
15,455976.4186046512, 98
16,461241.3956043956, 100
17,470151.32653061225, 101
18,468143.88349514565, 102
19,469055.247706422, 102
20,471185.5084745763, 103
21,467847.2148760331, 106
22,467989.544, 108
23,470856.954887218, 110
24,474431.4428571428, 110
25,466814.99324324325, 112
26,469245.44, 113
27,481204.891025641, 113
28,486253.12883435586, 113
29,480923.1301775148, 114
30,490247.12994350283, 117
31,488340.27624309395, 119
32,482756.920212766, 119
33,487485.3937823834, 119
34,484659.55778894474, 121
35,482092.8682926829, 124
36,485861.5023696682, 125
37,486393.94036697247, 126
38,494726.589958159, 128
39,492760.96995708154, 129
40,491579.70175438595, 129
41,486635.19457013573, 130
42,498967.1788617886, 131
43,500570.7628458498, 134
44,505725.0307692308, 136
45,509107.24905660376, 136
46,510978.9375, 138
47,511143.4528985507, 140
48,509537.4510489511, 141
49,512673.09712230216, 141
50,509106.41016949154, 144
51,506211.47491638793, 145
52,508625.6176470588, 145
53,508286.089456869, 146
54,503893.09748427675, 146
55,504682.9476923077, 148
56,508825.2636363636, 149
57,509829.1364985163, 151
58,506563.5889212828, 153
59,507147.21203438396, 153
60,507433.603988604, 155
61,509835.12983425416, 157
62,511380.71934604907, 158
63,512276.6568364611, 158
64,510345.0131578947, 159
65,510134.6223958333, 161
66,507049.8269720102, 162
67,508985.8101265823, 164
68,505849.1592039801, 165
69,507111.6943765281, 166
70,507767.9564164649, 167
71,505375.28571428574, 168
72,508239.0163551402, 168
73,504803.06192660553, 169
74,505318.70135746605, 170
75,507611.53571428574, 171
76,505580.9703872437, 171
77,504286.2560175055, 171
78,503493.33766233764, 173
79,501863.2835820895, 174
80,502635.44, 176
81,503109.1265560166, 176
82,504813.045174538, 180
83,504799.2677484787, 180
84,507051.78156312625, 190
85,508973.12475247524, 190
86,509512.322265625, 191
87,510103.9419729207, 200
88,509306.1903846154, 201
89,509858.6389413989, 203
90,508419.9606741573, 203
91,511857.7171903882, 204
92,512543.16270566726, 208
93,512574.06329113926, 210
94,512531.7924865832, 210
95,512242.6849557522, 212
96,511938.1383537653, 213
97,513524.22703639517, 214
98,512913.01715265866, 222
99,513524.5415959253, 229
100,512117.72605042014, 235
101,512955.6023294509, 242
102,510938.77429983526, 249
103,510746.10766721045, 257
104,511315.9305331179, 264
105,514185.8, 271
106,513803.35974643426, 279
107,514479.7880690738, 286
108,512864.7293934681, 294
109,510455.82126348227, 301
110,510726.2213740458, 308
111,510787.7776096823, 315
112,509741.0869565217, 322
113,509384.6151560178, 340
114,509001.6067746686, 347
115,508073.6525547445, 354
116,508752.6164978292, 361
117,510098.5394548063, 369
118,510242.50071123755, 376
119,511298.9830747532, 383
120,510689.12727272726, 390
121,512256.2052704577, 397
122,512138.1430536451, 404
123,511693.9072305593, 411
124,512883.4046008119, 418
125,511442.11946308723, 425
126,508905.7430093209, 433
127,507709.2787318362, 440
128,509057.78374836175, 447
129,508835.5292587776, 455
130,507421.38064516126, 462
131,506773.0627400768, 469
132,507202.4561626429, 476
133,506141.30643127364, 484
134,507457.22152690863, 495
135,506153.10310559004, 502
136,504577.4956843403, 510
137,504764.5605875153, 517
138,503049.2017010936, 524
139,502906.6296743064, 531
140,502992.5520958084, 538
141,503142.0083234245, 546
142,504643.9421487603, 553
143,504968.94724501757, 560
144,506632.8870779977, 567
145,506674.75722543354, 574
146,507239.5510907003, 582
147,505925.1425313569, 589
148,505789.04756511893, 597
149,505782.98987626546, 605
150,505948.4513966481, 613
151,507189.025527192, 620
152,506332.5159867696, 628
153,506077.3603504929, 640
154,506970.3057671382, 648
155,507775.58594594593, 655
