event count, max, time spent
1,879430, 0
2,879430, 2
3,879430, 3
4,879430, 3
5,879430, 5
6,879430, 17
7,879430, 119
8,879430, 231
9,981820, 340
10,981820, 450
11,981820, 558
12,981820, 670
13,981820, 788
14,981820, 901
15,981820, 1013
16,981820, 1126
17,981820, 1238
18,981820, 1350
19,981820, 1461
20,981820, 1571
21,981820, 1680
22,981820, 1790
23,981820, 1900
24,981820, 2011
25,981820, 2125
26,981820, 2265
27,981820, 2359
28,981820, 2486
29,981820, 2596
30,983692, 2710
31,983692, 2822
32,983692, 2934
33,983692, 3050
34,983692, 3167
35,983692, 3278
36,983692, 3390
37,983692, 3501
38,983692, 3612
39,983692, 3724
40,983692, 3836
41,983692, 3947
42,983692, 4059
43,983692, 4172
44,983692, 4282
45,983692, 4394
46,983692, 4506
47,983692, 4630
48,983692, 4742
49,983692, 4853
50,983692, 4973
51,983692, 5088
52,983692, 5202
53,983692, 5314
54,983692, 5430
55,983692, 5548
56,983692, 5666
57,983692, 5784
58,983692, 5902
59,983692, 6021
60,983692, 6131
61,983692, 6241
62,983692, 6352
63,983692, 6468
64,983692, 6587
65,983692, 6706
66,983692, 6828
67,983692, 6942
68,983692, 7056
69,983692, 7168
70,983692, 7280
71,983692, 7397
72,983692, 7516
73,983692, 7633
74,983692, 7750
75,983692, 7868
76,983692, 7985
77,983692, 8102
78,983692, 8219
79,983692, 8334
80,983692, 8450
81,983692, 8568
82,983692, 8686
83,983692, 8803
84,983692, 8921
85,983692, 9039
86,983692, 9156
87,983692, 9272
88,983692, 9382
89,983692, 9491
90,983692, 9599
91,983692, 9708
92,983692, 9818
93,983692, 9928
94,983692, 10037
95,983692, 10145
96,983692, 10254
97,983692, 10363
98,983692, 10475
99,983692, 10591
100,983692, 10711
101,983692, 10826
102,983692, 10938
103,983692, 11051
104,983692, 11162
105,983692, 11274
106,983692, 11387
107,983692, 11497
108,983692, 11609
109,983692, 11726
110,983692, 11844
111,983692, 11956
112,983692, 12070
113,983692, 12185
114,983692, 12296
115,983692, 12404
116,983692, 12519
117,983692, 12631
118,983692, 12739
119,983692, 12850
120,983692, 12960
121,983692, 13069
122,983692, 13180
123,983692, 13291
124,983692, 13402
125,983692, 13514
126,983692, 13630
127,983692, 13743
128,983692, 13854
129,983692, 13966
130,983692, 14077
131,983692, 14189
132,983692, 14301
133,983692, 14410
134,983692, 14522
135,983692, 14636
136,983692, 14751
137,983692, 14876
138,983692, 14987
139,983692, 15098
140,983692, 15205
141,983692, 15313
142,983692, 15424
143,983692, 15536
144,983692, 15647
145,987150, 15758
146,987150, 15869
147,987150, 15983
148,987150, 16095
149,987150, 16205
150,987150, 16317
151,987150, 16427
152,987150, 16539
153,987150, 16650
154,987150, 16762
