Buildfile: /home/chamod/Softwares/wso2/wso2das-3.1.0/samples/cep/consumers/wso2-event-consumer/build.xml

init:

compile:
    [javac] /home/chamod/Softwares/wso2/wso2das-3.1.0/samples/cep/consumers/wso2-event-consumer/build.xml:87: warning: 'includeantruntime' was not set, defaulting to build.sysclasspath=last; set to false for repeatable builds
    [javac] Compiling 1 source file to /home/chamod/Softwares/wso2/wso2das-3.1.0/samples/cep/consumers/wso2-event-consumer/temp/classes
     [copy] Copying 1 file to /home/chamod/Softwares/wso2/wso2das-3.1.0/samples/cep/consumers/wso2-event-consumer/temp/classes

run:
     [echo] Configure optionally use -DelapsedCount=xxxx -Dprotocol='thrift/binary' -Dhost=xxxx -Dport=xxxx
     [echo]             -DcalcType='throughput/latency'
     [echo]         
     [java] Shutdown hook added.
     [java] PUNCTUATION SERVER started................
     [java] Unable to determine dialect of the StAX implementation at jar:file:/home/chamod/Softwares/wso2/wso2das-3.1.0/repository/components/plugins/axiom_1.2.11.wso2v11.jar!/
     [java] SLF4J: Class path contains multiple SLF4J bindings.
     [java] SLF4J: Found binding in [jar:file:/home/chamod/Softwares/wso2/wso2das-3.1.0/repository/components/plugins/slf4j.log4j12_1.7.13.jar!/org/slf4j/impl/StaticLoggerBinder.class]
     [java] SLF4J: Found binding in [jar:file:/home/chamod/Softwares/wso2/wso2das-3.1.0/repository/components/plugins/slf4j.log4j12_1.7.21.jar!/org/slf4j/impl/StaticLoggerBinder.class]
     [java] SLF4J: See http://www.slf4j.org/codes.html#multiple_bindings for an explanation.
     [java] Thrift Server started at localhost
     [java] Thrift SSL port : 7761
     [java] Thrift port : 7661
     [java] Test Server Started
     [java] user admin connected
     [java] Event: count : 1, maxHumidity : 879430, timeSpent : 0
     [java] Event: count : 3, maxHumidity : 879430, timeSpent : 2
     [java] Event: count : 2, maxHumidity : 879430, timeSpent : 3
     [java] Event: count : 4, maxHumidity : 879430, timeSpent : 3
     [java] Event: count : 5, maxHumidity : 879430, timeSpent : 5
     [java] Event: count : 6, maxHumidity : 879430, timeSpent : 17
     [java] Event: count : 7, maxHumidity : 879430, timeSpent : 119
     [java] Event: count : 8, maxHumidity : 879430, timeSpent : 231
     [java] Event: count : 9, maxHumidity : 981820, timeSpent : 340
     [java] Event: count : 10, maxHumidity : 981820, timeSpent : 450
     [java] Event: count : 11, maxHumidity : 981820, timeSpent : 558
     [java] Event: count : 12, maxHumidity : 981820, timeSpent : 670
     [java] Event: count : 13, maxHumidity : 981820, timeSpent : 788
     [java] Event: count : 14, maxHumidity : 981820, timeSpent : 901
     [java] Event: count : 15, maxHumidity : 981820, timeSpent : 1013
     [java] Event: count : 16, maxHumidity : 981820, timeSpent : 1126
     [java] Event: count : 17, maxHumidity : 981820, timeSpent : 1238
     [java] Event: count : 18, maxHumidity : 981820, timeSpent : 1350
     [java] Event: count : 19, maxHumidity : 981820, timeSpent : 1461
     [java] Event: count : 20, maxHumidity : 981820, timeSpent : 1571
     [java] Event: count : 21, maxHumidity : 981820, timeSpent : 1680
     [java] Event: count : 22, maxHumidity : 981820, timeSpent : 1790
     [java] Event: count : 23, maxHumidity : 981820, timeSpent : 1900
     [java] Event: count : 24, maxHumidity : 981820, timeSpent : 2011
     [java] Event: count : 25, maxHumidity : 981820, timeSpent : 2125
     [java] Event: count : 26, maxHumidity : 981820, timeSpent : 2265
     [java] Event: count : 27, maxHumidity : 981820, timeSpent : 2359
     [java] Event: count : 28, maxHumidity : 981820, timeSpent : 2486
     [java] Event: count : 29, maxHumidity : 981820, timeSpent : 2596
     [java] Event: count : 30, maxHumidity : 983692, timeSpent : 2710
     [java] Event: count : 31, maxHumidity : 983692, timeSpent : 2822
     [java] Event: count : 32, maxHumidity : 983692, timeSpent : 2934
     [java] Event: count : 33, maxHumidity : 983692, timeSpent : 3050
     [java] Event: count : 34, maxHumidity : 983692, timeSpent : 3167
