event count, max, time spent
1,299076, 0
2,986301, 80
3,998672, 98
4,998672, 119
5,999706, 146
6,999782, 172
7,999782, 212
8,999782, 336
9,999782, 455
10,999782, 583
11,999782, 703
12,999782, 826
13,999782, 955
14,999782, 1082
15,999782, 1195
16,999782, 1312
17,999782, 1438
18,999782, 1569
19,999782, 1716
20,999782, 1832
21,999782, 1948
22,999782, 2075
23,999782, 2198
24,999782, 2315
25,999782, 2434
26,999782, 2577
27,999782, 2697
28,999782, 2816
29,999782, 2960
30,999782, 3103
31,999782, 3224
32,999782, 3372
33,999782, 3479
34,999782, 3597
35,999782, 3715
36,999782, 3833
37,999782, 3949
38,999782, 4063
39,999782, 4177
40,999782, 4290
41,999782, 4406
42,999782, 4531
43,999782, 4647
44,999782, 4766
45,999782, 4883
46,999782, 5001
47,999782, 5116
48,999782, 5234
49,999782, 5362
50,999825, 5487
51,999825, 5619
52,999825, 5735
53,999825, 5861
54,999825, 5999
55,999825, 6208
56,999825, 6472
57,999825, 6579
58,999825, 6694
59,999825, 6814
60,999825, 6931
61,999825, 7046
62,999825, 7173
63,999825, 7289
64,999825, 7337
65,999825, 7449
66,999825, 7571
67,999825, 7687
68,999825, 7803
69,999825, 7919
70,999825, 8050
71,999825, 8158
72,999825, 8277
73,999825, 8394
74,999825, 8512
75,999825, 8629
76,999825, 8745
77,999825, 8864
78,999825, 8980
79,999825, 9096
80,999825, 9210
81,999825, 9326
82,999825, 9442
83,999825, 9560
84,999825, 9678
85,999825, 9793
86,999825, 9910
87,999825, 10027
88,999825, 10143
89,999825, 10261
90,999825, 10377
91,999825, 10493
92,999825, 10609
93,999825, 10728
94,999825, 10844
95,999825, 10961
96,999825, 11078
97,999825, 11195
98,999825, 11308
99,999825, 11426
100,999825, 11542
101,999825, 11663
102,999825, 11779
103,999825, 11895
104,999825, 12013
105,999825, 12130
106,999825, 12249
107,999825, 12365
108,999825, 12482
109,999825, 12598
110,999825, 12718
111,999825, 12834
112,999825, 12952
113,999825, 13071
114,999825, 13188
115,999825, 13304
116,999825, 13421
117,999825, 13538
118,999825, 13656
119,999825, 13772
120,999825, 13889
121,999825, 14005
122,999825, 14123
123,999825, 14240
124,999825, 14359
125,999825, 14474
126,999825, 14591
127,999825, 14707
128,999825, 14824
129,999825, 14940
130,999825, 15058
131,999825, 15174
132,999825, 15290
133,999825, 15407
134,999825, 15525
135,999825, 15645
136,999825, 15761
137,999825, 15877
138,999825, 15996
139,999825, 16126
140,999825, 16244
141,999825, 16360
142,999825, 16478
143,999825, 16595
144,999825, 16712
145,999825, 16828
146,999825, 16946
147,999825, 17062
148,999825, 17180
149,999825, 17297
150,999825, 17415
151,999825, 17530
152,999825, 17648
153,999825, 17765
154,999825, 17881
155,999825, 17999
156,999825, 18115
157,999825, 18232
158,999825, 18349
159,999825, 18466
160,999825, 18583
161,999825, 18700
162,999825, 18817
163,999825, 18936
164,999825, 19054
165,999825, 19170
166,999825, 19288
167,999825, 19406
168,999825, 19523
169,999825, 19641
170,999825, 19758
171,999833, 19876
172,999833, 19992
173,999833, 20110
174,999833, 20226
175,999833, 20350
176,999833, 20466
177,999833, 20583
178,999833, 20701
179,999833, 20818
180,999833, 20934
181,999833, 21052
182,999833, 21169
183,999833, 21285
184,999833, 21402
185,999833, 21519
186,999833, 21635
187,999833, 21751
188,999833, 21869
189,999833, 21987
190,999833, 22101
191,999833, 22219
192,999833, 22337
193,999833, 22453
194,999833, 22572
195,999833, 22691
196,999833, 22806
197,999833, 22924
198,999833, 23041
199,999833, 23163
200,999833, 23279
201,999833, 23400
202,999845, 23516
203,999845, 23634
204,999845, 23750
205,999845, 23867
206,999845, 23983
207,999845, 24101
208,999845, 24217
209,999845, 24335
210,999845, 24454
211,999845, 24573
212,999845, 24696
213,999845, 24815
214,999845, 24932
215,999845, 25049
216,999845, 25167
217,999845, 25284
218,999845, 25401
219,999845, 25517
220,999886, 25634
221,999886, 25750
222,999886, 25867
223,999886, 25985
224,999886, 26100
225,999886, 26218
226,999886, 26335
227,999886, 26452
228,999886, 26569
229,999886, 26684
230,999886, 26801
231,999886, 26918
232,999886, 27036
