Buildfile: /home/chamod/Softwares/wso2/wso2das-3.1.0/samples/cep/consumers/wso2-event-consumer/build.xml

init:

compile:
    [javac] /home/chamod/Softwares/wso2/wso2das-3.1.0/samples/cep/consumers/wso2-event-consumer/build.xml:87: warning: 'includeantruntime' was not set, defaulting to build.sysclasspath=last; set to false for repeatable builds
    [javac] Compiling 1 source file to /home/chamod/Softwares/wso2/wso2das-3.1.0/samples/cep/consumers/wso2-event-consumer/temp/classes
     [copy] Copying 1 file to /home/chamod/Softwares/wso2/wso2das-3.1.0/samples/cep/consumers/wso2-event-consumer/temp/classes

run:
     [echo] Configure optionally use -DelapsedCount=xxxx -Dprotocol='thrift/binary' -Dhost=xxxx -Dport=xxxx
     [echo]             -DcalcType='throughput/latency'
     [echo]         
     [java] Shutdown hook added.
     [java] PUNCTUATION SERVER started................
     [java] Unable to determine dialect of the StAX implementation at jar:file:/home/chamod/Softwares/wso2/wso2das-3.1.0/repository/components/plugins/axiom_1.2.11.wso2v11.jar!/
     [java] SLF4J: Class path contains multiple SLF4J bindings.
     [java] SLF4J: Found binding in [jar:file:/home/chamod/Softwares/wso2/wso2das-3.1.0/repository/components/plugins/slf4j.log4j12_1.7.13.jar!/org/slf4j/impl/StaticLoggerBinder.class]
     [java] SLF4J: Found binding in [jar:file:/home/chamod/Softwares/wso2/wso2das-3.1.0/repository/components/plugins/slf4j.log4j12_1.7.21.jar!/org/slf4j/impl/StaticLoggerBinder.class]
     [java] SLF4J: See http://www.slf4j.org/codes.html#multiple_bindings for an explanation.
     [java] Thrift Server started at localhost
     [java] Thrift SSL port : 7761
     [java] Thrift port : 7661
     [java] Test Server Started
     [java] user admin connected
     [java] Event: count : 1, maxHumidity : 299076, timeSpent : 0
     [java] Event: count : 101, maxHumidity : 986301, timeSpent : 80
     [java] Event: count : 201, maxHumidity : 998672, timeSpent : 98
     [java] Event: count : 300, maxHumidity : 998672, timeSpent : 119
     [java] Event: count : 398, maxHumidity : 999706, timeSpent : 146
     [java] Event: count : 501, maxHumidity : 999782, timeSpent : 172
     [java] Event: count : 601, maxHumidity : 999782, timeSpent : 212
     [java] Event: count : 701, maxHumidity : 999782, timeSpent : 336
     [java] Event: count : 801, maxHumidity : 999782, timeSpent : 455
     [java] Event: count : 901, maxHumidity : 999782, timeSpent : 583
     [java] Event: count : 1001, maxHumidity : 999782, timeSpent : 703
     [java] Event: count : 1101, maxHumidity : 999782, timeSpent : 826
     [java] Event: count : 1201, maxHumidity : 999782, timeSpent : 955
     [java] Event: count : 1301, maxHumidity : 999782, timeSpent : 1082
     [java] Event: count : 1401, maxHumidity : 999782, timeSpent : 1195
     [java] Event: count : 1501, maxHumidity : 999782, timeSpent : 1312
     [java] Event: count : 1601, maxHumidity : 999782, timeSpent : 1438
     [java] Event: count : 1701, maxHumidity : 999782, timeSpent : 1569
     [java] Event: count : 1801, maxHumidity : 999782, timeSpent : 1716
     [java] Event: count : 1901, maxHumidity : 999782, timeSpent : 1832
     [java] Event: count : 2001, maxHumidity : 999782, timeSpent : 1948
     [java] Event: count : 2101, maxHumidity : 999782, timeSpent : 2075
     [java] Event: count : 2201, maxHumidity : 999782, timeSpent : 2198
     [java] Event: count : 2301, maxHumidity : 999782, timeSpent : 2315
     [java] Event: count : 2401, maxHumidity : 999782, timeSpent : 2434
     [java] Event: count : 2501, maxHumidity : 999782, timeSpent : 2577
     [java] Event: count : 2601, maxHumidity : 999782, timeSpent : 2697
     [java] Event: count : 2701, maxHumidity : 999782, timeSpent : 2816
     [java] Event: count : 2801, maxHumidity : 999782, timeSpent : 2960
     [java] Event: count : 2901, maxHumidity : 999782, timeSpent : 3103
     [java] Event: count : 3001, maxHumidity : 999782, timeSpent : 3224
     [java] Event: count : 3101, maxHumidity : 999782, timeSpent : 3372
     [java] Event: count : 3201, maxHumidity : 999782, timeSpent : 3479
     [java] Event: count : 3301, maxHumidity : 999782, timeSpent : 3597
     [java] Event: count : 3401, maxHumidity : 999782, timeSpent : 3715
     [java] Event: count : 3501, maxHumidity : 999782, timeSpent : 3833
     [java] Event: count : 3601, maxHumidity : 999782, timeSpent : 3949
     [java] Event: count : 3701, maxHumidity : 999782, timeSpent : 4063
     [java] Event: count : 3801, maxHumidity : 999782, timeSpent : 4177
     [java] Event: count : 3901, maxHumidity : 999782, timeSpent : 4290
     [java] Event: count : 4001, maxHumidity : 999782, timeSpent : 4406
     [java] Event: count : 4101, maxHumidity : 999782, timeSpent : 4531
     [java] Event: count : 4201, maxHumidity : 999782, timeSpent : 4647
     [java] Event: count : 4301, maxHumidity : 999782, timeSpent : 4766
     [java] Event: count : 4401, maxHumidity : 999782, timeSpent : 4883
     [java] Event: count : 4501, maxHumidity : 999782, timeSpent : 5001
     [java] Event: count : 4601, maxHumidity : 999782, timeSpent : 5116
     [java] Event: count : 4701, maxHumidity : 999782, timeSpent : 5234
     [java] Event: count : 4801, maxHumidity : 999782, timeSpent : 5362
     [java] Event: count : 4901, maxHumidity : 999825, timeSpent : 5487
     [java] Event: count : 5001, maxHumidity : 999825, timeSpent : 5619
     [java] Event: count : 5101, maxHumidity : 999825, timeSpent : 5735
     [java] Event: count : 5201, maxHumidity : 999825, timeSpent : 5861
     [java] Event: count : 5301, maxHumidity : 999825, timeSpent : 5999
     [java] Event: count : 5401, maxHumidity : 999825, timeSpent : 6208
     [java] Event: count : 5501, maxHumidity : 999825, timeSpent : 6472
     [java] Event: count : 5601, maxHumidity : 999825, timeSpent : 6579
     [java] Event: count : 5701, maxHumidity : 999825, timeSpent : 6694
     [java] Event: count : 5801, maxHumidity : 999825, timeSpent : 6814
     [java] Event: count : 5901, maxHumidity : 999825, timeSpent : 6931
     [java] Event: count : 6001, maxHumidity : 999825, timeSpent : 7046
     [java] Event: count : 6101, maxHumidity : 999825, timeSpent : 7173
     [java] Event: count : 6201, maxHumidity : 999825, timeSpent : 7289
     [java] Event: count : 6301, maxHumidity : 999825, timeSpent : 7337
     [java] Event: count : 6401, maxHumidity : 999825, timeSpent : 7449
     [java] Event: count : 6501, maxHumidity : 999825, timeSpent : 7571
     [java] Event: count : 6601, maxHumidity : 999825, timeSpent : 7687
     [java] Event: count : 6701, maxHumidity : 999825, timeSpent : 7803
     [java] Event: count : 6801, maxHumidity : 999825, timeSpent : 7919
     [java] Event: count : 6901, maxHumidity : 999825, timeSpent : 8050
     [java] Event: count : 7001, maxHumidity : 999825, timeSpent : 8158
     [java] Event: count : 7101, maxHumidity : 999825, timeSpent : 8277
     [java] Event: count : 7201, maxHumidity : 999825, timeSpent : 8394
     [java] Event: count : 7301, maxHumidity : 999825, timeSpent : 8512
     [java] Event: count : 7401, maxHumidity : 999825, timeSpent : 8629
     [java] Event: count : 7501, maxHumidity : 999825, timeSpent : 8745
     [java] Event: count : 7601, maxHumidity : 999825, timeSpent : 8864
     [java] Event: count : 7701, maxHumidity : 999825, timeSpent : 8980
     [java] Event: count : 7801, maxHumidity : 999825, timeSpent : 9096
     [java] Event: count : 7901, maxHumidity : 999825, timeSpent : 9210
     [java] Event: count : 8001, maxHumidity : 999825, timeSpent : 9326
     [java] Event: count : 8101, maxHumidity : 999825, timeSpent : 9442
     [java] Event: count : 8201, maxHumidity : 999825, timeSpent : 9560
     [java] Event: count : 8301, maxHumidity : 999825, timeSpent : 9678
     [java] Event: count : 8401, maxHumidity : 999825, timeSpent : 9793
     [java] Event: count : 8501, maxHumidity : 999825, timeSpent : 9910
     [java] Event: count : 8601, maxHumidity : 999825, timeSpent : 10027
     [java] Event: count : 8701, maxHumidity : 999825, timeSpent : 10143
     [java] Event: count : 8801, maxHumidity : 999825, timeSpent : 10261
     [java] Event: count : 8901, maxHumidity : 999825, timeSpent : 10377
     [java] Event: count : 9001, maxHumidity : 999825, timeSpent : 10493
     [java] Event: count : 9101, maxHumidity : 999825, timeSpent : 10609
     [java] Event: count : 9201, maxHumidity : 999825, timeSpent : 10728
     [java] Event: count : 9301, maxHumidity : 999825, timeSpent : 10844
     [java] Event: count : 9401, maxHumidity : 999825, timeSpent : 10961
     [java] Event: count : 9501, maxHumidity : 999825, timeSpent : 11078
     [java] Event: count : 9601, maxHumidity : 999825, timeSpent : 11195
     [java] Event: count : 9701, maxHumidity : 999825, timeSpent : 11308
     [java] Event: count : 9801, maxHumidity : 999825, timeSpent : 11426
     [java] Event: count : 9901, maxHumidity : 999825, timeSpent : 11542
     [java] Event: count : 10001, maxHumidity : 999825, timeSpent : 11663
     [java] Event: count : 10101, maxHumidity : 999825, timeSpent : 11779
     [java] Event: count : 10201, maxHumidity : 999825, timeSpent : 11895
     [java] Event: count : 10301, maxHumidity : 999825, timeSpent : 12013
     [java] Event: count : 10401, maxHumidity : 999825, timeSpent : 12130
     [java] Event: count : 10501, maxHumidity : 999825, timeSpent : 12249
     [java] Event: count : 10601, maxHumidity : 999825, timeSpent : 12365
     [java] Event: count : 10701, maxHumidity : 999825, timeSpent : 12482
     [java] Event: count : 10801, maxHumidity : 999825, timeSpent : 12598
     [java] Event: count : 10901, maxHumidity : 999825, timeSpent : 12718
     [java] Event: count : 11001, maxHumidity : 999825, timeSpent : 12834
     [java] Event: count : 11101, maxHumidity : 999825, timeSpent : 12952
     [java] Event: count : 11201, maxHumidity : 999825, timeSpent : 13071
     [java] Event: count : 11301, maxHumidity : 999825, timeSpent : 13188
     [java] Event: count : 11401, maxHumidity : 999825, timeSpent : 13304
     [java] Event: count : 11501, maxHumidity : 999825, timeSpent : 13421
     [java] Event: count : 11601, maxHumidity : 999825, timeSpent : 13538
     [java] Event: count : 11701, maxHumidity : 999825, timeSpent : 13656
     [java] Event: count : 11801, maxHumidity : 999825, timeSpent : 13772
     [java] Event: count : 11901, maxHumidity : 999825, timeSpent : 13889
     [java] Event: count : 12001, maxHumidity : 999825, timeSpent : 14005
     [java] Event: count : 12101, maxHumidity : 999825, timeSpent : 14123
     [java] Event: count : 12201, maxHumidity : 999825, timeSpent : 14240
     [java] Event: count : 12301, maxHumidity : 999825, timeSpent : 14359
     [java] Event: count : 12401, maxHumidity : 999825, timeSpent : 14474
     [java] Event: count : 12501, maxHumidity : 999825, timeSpent : 14591
     [java] Event: count : 12601, maxHumidity : 999825, timeSpent : 14707
     [java] Event: count : 12701, maxHumidity : 999825, timeSpent : 14824
     [java] Event: count : 12801, maxHumidity : 999825, timeSpent : 14940
     [java] Event: count : 12901, maxHumidity : 999825, timeSpent : 15058
     [java] Event: count : 13001, maxHumidity : 999825, timeSpent : 15174
     [java] Event: count : 13101, maxHumidity : 999825, timeSpent : 15290
     [java] Event: count : 13201, maxHumidity : 999825, timeSpent : 15407
     [java] Event: count : 13301, maxHumidity : 999825, timeSpent : 15525
     [java] Event: count : 13401, maxHumidity : 999825, timeSpent : 15645
     [java] Event: count : 13501, maxHumidity : 999825, timeSpent : 15761
     [java] Event: count : 13601, maxHumidity : 999825, timeSpent : 15877
     [java] Event: count : 13701, maxHumidity : 999825, timeSpent : 15996
     [java] Event: count : 13801, maxHumidity : 999825, timeSpent : 16126
     [java] Event: count : 13901, maxHumidity : 999825, timeSpent : 16244
     [java] Event: count : 14001, maxHumidity : 999825, timeSpent : 16360
     [java] Event: count : 14101, maxHumidity : 999825, timeSpent : 16478
     [java] Event: count : 14201, maxHumidity : 999825, timeSpent : 16595
     [java] Event: count : 14301, maxHumidity : 999825, timeSpent : 16712
     [java] Event: count : 14401, maxHumidity : 999825, timeSpent : 16828
     [java] Event: count : 14501, maxHumidity : 999825, timeSpent : 16946
     [java] Event: count : 14601, maxHumidity : 999825, timeSpent : 17062
     [java] Event: count : 14701, maxHumidity : 999825, timeSpent : 17180
     [java] Event: count : 14801, maxHumidity : 999825, timeSpent : 17297
     [java] Event: count : 14901, maxHumidity : 999825, timeSpent : 17415
     [java] Event: count : 15001, maxHumidity : 999825, timeSpent : 17530
     [java] Event: count : 15101, maxHumidity : 999825, timeSpent : 17648
     [java] Event: count : 15201, maxHumidity : 999825, timeSpent : 17765
     [java] Event: count : 15301, maxHumidity : 999825, timeSpent : 17881
     [java] Event: count : 15401, maxHumidity : 999825, timeSpent : 17999
     [java] Event: count : 15501, maxHumidity : 999825, timeSpent : 18115
     [java] Event: count : 15601, maxHumidity : 999825, timeSpent : 18232
     [java] Event: count : 15701, maxHumidity : 999825, timeSpent : 18349
     [java] Event: count : 15801, maxHumidity : 999825, timeSpent : 18466
     [java] Event: count : 15901, maxHumidity : 999825, timeSpent : 18583
     [java] Event: count : 16001, maxHumidity : 999825, timeSpent : 18700
     [java] Event: count : 16101, maxHumidity : 999825, timeSpent : 18817
     [java] Event: count : 16201, maxHumidity : 999825, timeSpent : 18936
     [java] Event: count : 16301, maxHumidity : 999825, timeSpent : 19054
     [java] Event: count : 16401, maxHumidity : 999825, timeSpent : 19170
     [java] Event: count : 16501, maxHumidity : 999825, timeSpent : 19288
     [java] Event: count : 16601, maxHumidity : 999825, timeSpent : 19406
     [java] Event: count : 16701, maxHumidity : 999825, timeSpent : 19523
