event count, events value, impact
1,3.0,0.031055900621118016
2,4.0,0.00621118012422358
3,5.0,0.036363636363636355
4,6.0,0.06363636363636366
5,7.0,0.05769230769230771
6,8.0,0.07692307692307687
7,9.0,0.09615384615384626
8,0.0,0.07692307692307687
9,1.0,0.04556752278376138
10,2.0,0.028947368421052652
11,3.0,0.01710526315789482
12,4.0,0.005263157894736792
13,5.0,0.006578947368421039
14,6.0,0.01842105263157887
15,7.0,0.0302631578947367
16,8.0,0.042105263157894736
17,9.0,0.05394736842105256
18,0.0,0.052631578947368515
19,1.0,0.04078947368421049
20,2.0,0.028947368421052652
21,3.0,0.01710526315789482
22,4.0,0.005263157894736792
23,5.0,0.008403361344537785
24,6.0,0.019607843137254832
25,7.0,0.030812324929972087
26,8.0,0.04351851851851843
27,9.0,0.054590570719602875
28,0.0,0.03333333333333326
29,1.0,0.02462462462462458
30,2.0,0.0159159159159159
31,3.0,0.006832298136645938
32,4.0,1.3137151865482612E-4
33,5.0,0.003191974464204275
34,6.0,0.009925828970331665
35,7.0,0.015052356020942414
36,8.0,0.02017888307155316
37,9.0,0.022815533980582534
38,0.0,0.019999999999999924
39,1.0,0.015242718446601966
40,2.0,0.009988901220865768
41,3.0,0.005549389567147626
42,4.0,5.506607929516866E-4
43,5.0,0.0037759597230962345
44,6.0,0.008102580239144156
45,7.0,0.01190824079485682
46,8.0,0.016072472238457144
47,9.0,0.02023670368205725
48,0.0,0.016666666666666656
49,1.0,0.012087912087911956
50,2.0,0.008302808302808185
51,3.0,0.004517704517704413
52,4.0,7.326007326006412E-4
53,5.0,0.0030525030525031306
54,6.0,0.006837606837606903
55,7.0,0.010622710622710673
56,8.0,0.014407814407814447
57,9.0,0.01819291819291822
58,0.0,0.015625000000000076
59,1.0,0.01186784351145046
60,2.0,0.007981492192018613
61,3.0,0.008264462809917375
62,4.0,0.0011967228205836456
63,5.0,0.0020711500974657238
64,6.0,0.004690431519699851
65,7.0,0.006658380681818232
66,8.0,0.009081844395936114
67,9.0,0.010512577123872796
68,0.0,0.010000000000000153
69,1.0,0.007452949112059608
70,2.0,0.007909982174688144
71,3.0,0.0029833447802197132
72,4.0,6.802721088436238E-4
73,5.0,0.0013482433182648193
74,6.0,0.003469743833769474
75,7.0,0.005591244349274332
76,8.0,0.007712744864779191
77,9.0,0.00983424538028405
78,0.0,0.008403361344537957
79,1.0,0.006470424427080923
80,2.0,0.004457416601894024
81,3.0,0.002556634304207111
82,4.0,6.310679611649438E-4
83,5.0,0.0012944983818770181
84,6.0,0.0032200647249191854
85,7.0,0.0051456310679611475
86,8.0,0.007071197411003314
87,9.0,0.008618191247578498
88,0.0,0.008130081300813044
89,1.0,0.006162962962962824
