events count, average value
1,8336.5
2,6492.0526315789475
3,6367.722222222223
4,6472.941176470588
5,7005.181818181818
6,6548.533333333334
7,6366.214285714285
8,6785.846153846154
9,7172.333333333333
10,7162.111111111111
11,6762.7
12,6532.0
13,6885.75
14,6873.714285714285
15,7002.166666666667
16,6967.0
17,6256.75
18,6237.782608695652
19,6404.8125
20,6326.333333333333
21,6031.44
22,6437.863636363636
23,6714.238095238095
24,6560.85
25,5805.2307692307695
26,5645.5
27,5666.333333333333
28,5665.551724137931
29,5499.7
30,5376.387096774193
31,5289.625
32,5153.515151515152
33,5192.970588235294
34,5074.628571428571
35,5065.055555555556
36,5174.216216216216
37,5183.8421052631575
38,5218.666666666667
39,5262.85
40,5292.243902439024
41,5374.476190476191
42,5199.545454545455
43,5298.53488372093
44,5291.4
45,5221.130434782609
46,5160.714285714285
47,5206.604166666667
48,5310.659574468085
49,5132.88
50,5099.156862745098
51,5144.692307692308
52,5169.7037037037035
53,5126.924528301887
54,5254.418181818181
55,5320.642857142857
56,5359.172413793103
57,5376.864406779661
58,5354.982456140351
59,5327.266666666666
60,5302.606557377049
61,5331.6349206349205
62,5340.951612903225
63,5420.630769230769
64,5401.171875
65,5340.212121212121
66,5389.925373134329
67,5459.347826086957
68,5403.735294117647
69,5502.2535211267605
70,5491.657142857143
71,5564.430555555556
72,5547.1621621621625
73,5620.753424657534
74,5550.881578947368
75,5498.405063291139
76,5565.92
77,5456.6125
78,5552.153846153846
79,5577.701298701299
80,5431.6024096385545
81,5487.695121951219
82,5506.259259259259
83,5459.129411764706
84,5474.726190476191
85,5509.697674418605
86,5499.517241379311
87,5507.25
88,5482.561797752809
89,5519.655555555555
90,5543.89010989011
91,5546.934782608696
92,5572.021505376344
93,5581.010638297872
94,5619.726315789474
95,5563.75
96,5523.422680412371
97,5526.1122448979595
98,5557.030303030303
99,5508.49
100,5466.712871287129
101,5482.029411764706
102,5424.990476190476
103,5460.298076923077
104,5432.038834951456
105,5453.48623853211
106,5446.259259259259
107,5439.214953271028
108,5408.405660377359
109,5490.330357142857
110,5451.198198198198
111,5490.963636363636
112,5494.616666666667
113,5469.8403361344535
114,5495.6949152542375
115,5485.6324786324785
116,5475.2231404958675
117,5463.798387096775
118,5508.732758620689
119,5485.669565217391
120,5440.576
121,5498.078947368421
122,5425.166666666667
123,5485.734513274337
124,5388.5511811023625
125,5503.056910569106
126,5466.508196721312
127,5380.595419847328
128,5408.638461538461
129,5422.837209302325
130,5404.5
131,5395.7593984962405
132,5388.674242424242
133,5358.768656716418
134,5389.125925925926
135,5407.110294117647
136,5407.518248175183
137,5413.963768115942
138,5404.776978417266
139,5379.071428571428
140,5411.297872340426
141,5404.027972027972
142,5390.352112676056
143,5428.131944444444
144,5402.296551724138
145,5395.404109589041
146,5400.931972789115
147,5420.371621621622
148,5448.375838926175
149,5448.246666666667
150,5600.672619047619
151,5580.838323353293
152,5565.993975903614
153,5543.278787878788
154,5532.737804878048
155,5548.9754601227
156,5527.259259259259
157,5528.739130434783
158,5474.523178807947
159,5535.012578616353
160,5532.348101265823
161,6000.625
162,5571.918128654971
163,5558.697674418605
164,5552.976878612717
165,5571.551724137931
166,5512.770700636943
167,5589.840909090909
168,5513.98717948718
169,5494.974193548387
170,5499.428571428572
171,5502.549019607844
172,5492.111842105263
173,5562.923913043478
174,5580.459016393443
175,5601.4670329670325
176,5595.308988764045
177,5595.2430939226515
178,5594.0
179,5588.058510638298
180,5585.497206703911
181,5582.943502824859
182,5593.2588235294115
183,5580.428571428572
184,5582.721893491124
185,5514.86875
186,5478.3034825870645
187,5516.340101522843
188,5477.72
189,5486.030150753769
190,5488.540404040404
191,5526.882653061224
192,5532.010256410256
193,5554.505154639175
194,5547.316062176165
195,5560.567708333333
196,5570.759162303665
197,5564.7052631578945
198,5463.4708737864075
199,5458.83574879227
200,5480.622009569378
201,5568.343915343916
202,5480.312796208531
203,5489.462264150943
204,5485.981220657277
205,5566.219251336898
