events count, average value
1,9076.0
2,6781.0
3,5122.5
4,5678.0
5,5654.5
6,5060.8
7,5427.0
8,5927.375
9,6042.888888888889
10,6201.9
11,6490.181818181818
12,6303.416666666667
13,5860.538461538462
14,6135.214285714285
15,5879.933333333333
16,5890.4375
17,5953.941176470588
18,5742.5
19,5932.526315789473
20,5941.05
21,5690.833333333333
22,5958.636363636364
23,5809.0
24,5777.92
25,5886.692307692308
26,6030.962962962963
27,6085.678571428572
28,6176.862068965517
29,6169.5
30,6134.451612903225
31,5947.4375
32,5801.029411764706
33,5955.909090909091
34,5467.8378378378375
35,5597.555555555556
36,5683.2
37,5384.789473684211
38,5445.384615384615
39,5427.5
40,5453.536585365854
41,5480.860465116279
42,5455.5952380952385
43,5563.204545454545
44,5583.311111111111
45,5554.170212765957
46,5652.065217391304
47,5482.395833333333
48,5389.755102040816
49,5739.173913043478
50,5391.078431372549
51,5466.884615384615
52,5601.145454545454
53,5606.925925925926
54,5534.811320754717
55,5681.4
56,5727.946808510638
57,5750.989247311828
58,5730.717391304348
59,5745.087912087912
60,5731.655555555555
61,5794.08988764045
62,5749.977272727273
63,5795.873563218391
64,5747.232558139535
65,5741.388235294117
66,5717.821428571428
67,5710.457831325301
68,5667.40243902439
69,5630.320987654321
70,5699.2875
71,5672.898734177215
72,5684.679487179487
73,5671.935064935065
74,5645.513157894737
75,5590.36
76,5614.243243243243
77,5658.260273972603
78,5647.916666666667
79,5589.028169014085
80,5606.457142857143
81,5579.927536231884
82,5552.176470588235
83,5584.104477611941
84,5552.660714285715
85,5532.909090909091
86,5504.584615384615
87,5451.328125
88,5471.142857142857
89,5511.677419354839
90,5540.245901639344
91,5627.316666666667
92,5578.6122448979595
93,5650.362745098039
94,5597.8932038834955
95,5559.951923076923
96,5562.114285714286
97,5590.6509433962265
98,5505.564814814815
99,5519.54128440367
100,5545.463636363636
101,5465.0625
102,5586.338983050848
103,5522.068965517241
104,5500.575221238938
105,5491.368421052632
106,5498.504504504504
107,5544.971962616823
108,5614.633663366337
109,5606.61
110,5484.491228070176
111,5621.333333333333
112,5627.546391752578
113,5644.666666666667
114,5512.495652173913
115,5518.7155172413795
116,5480.752136752137
117,5517.64406779661
118,5513.050420168067
119,5524.55
120,5512.537190082645
121,5534.245901639344
122,5512.065040650406
123,5521.427419354839
124,5496.608
125,5477.9682539682535
126,5513.275590551181
127,5475.1640625
128,5466.922480620155
129,5451.784615384616
130,5429.717557251908
131,5394.454545454545
132,5380.789473684211
133,5371.481481481482
134,5398.619402985075
135,5378.536764705882
136,5342.481751824817
137,5372.297101449275
138,5390.014388489209
139,5390.535714285715
140,5396.964539007092
141,5388.091549295775
142,5363.041958041958
143,5394.708333333333
144,5462.18
145,5374.310344827586
146,5387.815068493151
147,5411.5374149659865
148,5382.194630872483
149,5434.346405228758
150,5434.381578947368
151,5406.841059602649
152,5401.5
153,5460.201298701299
154,5477.541935483871
155,5476.551282051282
156,5486.821656050955
157,5482.53164556962
158,5493.566037735849
159,5450.679012345679
160,5472.459627329193
161,5432.176829268293
162,5475.275
163,5452.496969696969
164,5437.472392638037
165,5462.5722891566265
166,5464.706586826347
167,5472.226190476191
168,5450.863905325444
169,5475.694117647059
170,5462.413793103448
171,5467.820809248555
172,5458.238372093023
173,5457.438596491228
