events count, average value, timeSpent
1,9895.0,0
2,7391.0,1
3,5897.2,11
4,5558.363636363636,13
5,5594.916666666667,15
6,6829.5,15
7,6633.166666666667,16
8,5894.571428571428,16
9,7278.8,16
10,6524.666666666667,16
11,6230.0,17
12,5091.285714285715,17
13,5362.692307692308,17
14,5165.2,17
15,5438.4375,18
16,5469.117647058823,19
17,9574.0,21
18,5624.777777777777,75
19,5383.473684210527,76
20,5232.55,76
21,5054.714285714285,76
22,5165.090909090909,85
23,5143.0,88
24,5116.375,95
25,5107.36,102
26,5218.153846153846,116
27,5247.2962962962965,121
28,5324.892857142857,129
29,5305.0,135
30,5312.0,137
31,5243.258064516129,140
32,5368.0625,149
33,5382.393939393939,150
34,5278.676470588235,150
35,5244.942857142857,151
36,4913.025641025641,153
37,5020.5,153
38,5111.083333333333,153
39,4976.55,154
40,5153.1621621621625,154
41,5097.951219512195,154
42,5135.238095238095,155
43,5191.404255319149,157
44,5185.652173913043,158
45,5244.422222222222,162
46,5187.045454545455,165
47,5105.976744186047,167
48,5334.45,167
49,5269.762711864407,169
50,5197.206896551724,169
51,5169.857142857143,169
52,5155.345454545454,170
53,5356.5,170
54,5309.269841269841,171
55,5256.203125,171
56,5208.969230769231,172
57,5228.227272727273,172
58,5285.567164179104,172
59,5275.735294117647,173
60,5299.768115942029,179
61,5330.785714285715,179
62,5314.732394366197,180
63,5245.819444444444,180
64,5282.068493150685,180
65,5313.72972972973,181
66,5111.740740740741,181
67,5201.830188679245,181
68,5360.253333333333,182
69,5160.25,183
70,5241.156862745098,183
71,5172.54,183
72,5118.877551020408,184
73,5175.708333333333,184
74,5369.688524590164,185
75,5409.789473684211,189
76,5455.285714285715,190
77,5445.628205128205,192
78,5498.139240506329,196
79,5422.234567901234,202
80,5431.0625,208
81,5453.1463414634145,214
82,5402.650602409639,216
83,5452.571428571428,217
84,5415.627906976744,217
85,5394.9885057471265,218
86,5471.505882352942,218
87,5414.693181818182,225
88,5452.595505617977,229
89,5541.813186813187,238
90,5493.477777777778,239
91,5477.073684210526,239
92,5502.755319148936,240
93,5517.4838709677415,240
94,5556.402173913043,240
95,5497.677083333333,241
96,5538.670103092783,241
97,5489.540816326531,241
98,5356.081081081081,246
99,5367.545454545455,249
100,5334.119266055046,251
101,5365.657407407408,253
102,5412.485981308411,254
103,5504.747474747474,254
104,5411.3490566037735,254
105,5460.466666666666,254
106,5477.2692307692305,254
107,5443.873786407767,255
108,5494.176470588235,255
109,5489.346534653465,255
110,5492.44,255
111,5297.333333333333,255
112,5337.008403361345,256
113,5316.627118644068,256
114,5333.316239316239,256
115,5326.0344827586205,256
116,5300.034782608695,256
117,5324.578947368421,256
118,5355.2477876106195,257
119,5384.776785714285,257
120,5338.2786885245905,262
121,5323.120967741936,262
122,5349.447154471544,262
123,5352.176,263
124,5320.920634920635,263
125,5292.566929133858,263
126,5338.633587786259,264
127,5316.153846153846,266
128,5281.062015503876,267
129,5316.71875,270
130,5356.085714285714,272
131,5342.280575539568,273
132,5315.695652173913,273
133,5310.78102189781,274
134,5278.72794117647,274
135,5398.172413793103,274
136,5369.787671232877,275
137,5316.0,276
138,5321.873134328358,284
139,5326.752066115702,286
140,5328.6766917293235,288
141,5309.545454545455,290
142,5355.404624277457,292
143,5371.726744186047,295
144,5359.5321637426905,297
145,5366.164705882353,299
146,5349.627218934911,301
147,5325.625,302
148,5339.491017964072,303
149,5338.873493975903,306
150,5330.951515151515,310
151,5349.219512195122,312
152,5293.106918238994,313
153,5309.462025316456,330
154,5327.83950617284,343
155,5317.639751552795,346
156,5313.425,349
157,5154.912280701755,351
158,5297.789808917198,352
159,5325.705128205128,352
160,5338.5741935483875,354
161,5322.077922077922,357
162,5300.307189542484,359
163,5317.763157894737,362
164,5349.867549668874,364
165,5355.8133333333335,366
166,5368.744966442953,368
167,5358.006756756757,370
168,5379.965986394558,372
169,5388.826388888889,374
170,5366.7692307692305,375
171,5382.985915492958,379
172,5367.609929078014,380
173,5246.323636363636,383
174,5250.762773722628,385
175,5244.417582417583,385
176,5181.38078291815,386
177,5255.60294117647,386
178,5274.50184501845,386
179,5275.333333333333,386
180,5261.312267657992,386
181,5269.182835820896,387
182,5266.460674157303,387
183,5255.037593984963,388
184,5253.037735849057,390
185,5267.481060606061,392
186,5251.425855513308,396
187,5233.362595419847,397
188,5237.927203065134,397
189,5241.746153846154,399
190,5242.135135135135,399
191,5233.794573643411,400
192,5253.6381322957195,401
193,5265.4921875,403
194,5278.047058823529,405
195,5269.204724409449,407
196,5259.138339920949,409
197,5251.626984126984,409
198,5237.553784860558,409
199,5243.948,409
200,5260.024096385542,410
201,5262.657258064516,410
202,5256.615384615385,412
203,5273.609756097561,413
204,5291.391836734694,415
205,5306.44262295082,417
206,5309.658436213992,422
207,5313.876033057852,424
208,5193.206896551724,425
209,5311.070539419087,427
210,5295.8,428
211,5315.112970711297,430
212,5329.126050420168,432
213,5334.493670886076,433
214,5352.1483050847455,441
215,5332.885106382979,442
216,5319.042735042735,442
217,5324.510729613734,442
218,5333.771551724138,442
219,5341.532467532467,442
220,5333.647826086956,442
221,5333.034934497817,442
222,5335.434210526316,444
223,5331.36563876652,444
224,5336.203539823009,444
225,5332.031111111111,444
226,5351.116071428572,445
227,5330.37668161435,445
228,5206.216494845361,445
229,5343.842342342342,450
230,5347.420814479638,450
231,5368.063636363637,450
232,5351.296803652968,450
233,5333.564220183486,451
234,5327.654377880184,451
235,5310.439814814815,451
236,5325.851162790697,451
237,5341.59509202454,451
238,5345.9953271028035,451
239,5366.469483568075,451
240,5369.028301886792,451
241,5356.379146919431,452
242,5336.780952380952,452
243,5339.4162679425835,452
244,5322.807692307692,452
245,5332.84541062802,452
246,5321.9320388349515,452
247,5299.59512195122,452
248,5301.117647058823,452
249,5301.374384236453,453
250,5305.410891089109,453
251,5314.611940298508,453
252,5323.825,453
253,5326.386934673367,453
