events count, average value, timeSpent
1,9076.0,1
2,5320.777777777777,1
3,4509.727272727273,20
4,4570.058823529412,47
5,5074.0,52
6,5690.25,52
7,5447.0,52
8,6081.5,53
9,5341.137931034483,202
10,5415.433333333333,207
11,5978.0,208
12,6049.5,208
13,5893.5,211
14,5268.892857142857,212
15,5185.888888888889,212
16,5588.322033898305,260
17,5345.576923076923,267
18,5247.32,268
19,5142.25,268
20,5261.869565217391,269
21,5299.318181818182,269
22,5144.476190476191,284
23,5125.95,296
24,4798.0,296
25,4590.8125,297
26,4335.733333333334,297
27,4582.5,298
28,4322.307692307692,301
29,4454.416666666667,307
30,4892.7,308
31,5743.636363636364,311
32,5722.323076923077,314
33,5792.015625,316
34,5731.6349206349205,319
35,5710.177419354839,323
36,5659.475409836065,324
37,5626.716666666666,325
38,5616.19298245614,326
39,5574.392857142857,326
40,5590.0,326
41,5691.074074074074,328
42,5617.433962264151,330
43,5635.038461538462,333
44,5570.764705882353,335
45,5661.88,337
46,5591.2040816326535,339
47,5496.951219512195,341
48,5510.229166666667,343
49,5619.95744680851,344
50,5651.021739130435,346
51,5610.577777777778,348
52,5580.5,349
53,5499.3488372093025,351
54,5520.357142857143,352
55,5385.525,360
56,5352.74358974359,361
57,5391.578947368421,362
58,4939.315789473684,364
59,5344.27027027027,365
60,5432.0,367
61,5532.542857142857,368
62,5625.235294117647,370
63,5657.757575757576,372
64,5600.6875,373
65,5486.1612903225805,375
66,5529.236842105263,388
67,5571.8230088495575,403
68,5546.714285714285,409
69,5581.189189189189,417
70,5619.072727272727,419
71,5588.467889908256,427
72,5558.2037037037035,427
73,5547.420560747663,428
74,5536.235849056604,428
75,5529.2,428
76,5562.317307692308,428
77,5610.728155339806,429
78,5632.754901960784,429
79,5627.3564356435645,430
80,5606.21,431
81,5578.838383838384,431
82,5610.234693877551,431
83,5648.907216494846,431
84,5686.416666666667,432
85,5656.063157894737,432
86,5672.670212765957,432
87,5636.774193548387,433
88,5677.086956521739,433
89,5735.571428571428,433
90,5737.822222222222,434
91,5799.438202247191,434
92,5823.147727272727,567
93,5787.586206896552,567
94,5851.2441860465115,572
95,5849.705882352941,572
96,5800.583333333333,573
97,5808.060240963855,573
98,5763.3536585365855,573
99,5781.740740740741,574
100,5797.1,574
101,5781.93670886076,575
102,5737.897435897436,575
103,5803.012987012987,575
104,5781.276315789473,576
105,5817.52,581
106,5840.283783783784,596
107,5893.753424657534,597
108,5964.416666666667,628
109,5951.4647887323945,631
110,5941.971428571429,635
111,5884.724637681159,651
112,5836.970588235294,654
113,5792.925373134329,657
114,5484.834645669292,659
115,5501.9682539682535,684
116,5520.344,687
117,5485.193548387097,693
118,5496.764227642277,695
119,5506.647540983607,699
120,5505.716666666666,701
121,5499.3865546218485,704
122,5464.042372881356,707
123,5472.991452991453,709
124,5518.043103448276,712
125,5552.991304347826,715
126,5622.258620689655,718
127,5466.637037037037,720
128,5468.261194029851,723
129,5471.8646616541355,784
130,5479.333333333333,784
131,5500.480916030534,815
132,5516.084615384615,816
133,5492.0,819
134,5497.296875,821
135,5354.448863636364,822
136,5339.114285714286,823
137,5351.149425287356,823
