events count, average value, timeSpent
1,9076.0,0
2,6679.333333333333,1
3,6948.0,16
4,5563.090909090909,17
5,5353.3,18
6,5461.666666666667,18
7,7479.25,19
8,5724.625,19
9,6356.142857142857,19
10,6700.333333333333,20
11,6624.4,20
12,5786.333333333333,20
13,5461.153846153846,21
14,5585.571428571428,23
15,5591.266666666666,24
16,5779.9375,28
17,5947.176470588235,30
18,5801.555555555556,51
19,5749.578947368421,52
20,5505.5,53
21,5599.666666666667,57
22,5556.818181818182,58
23,5511.04347826087,59
24,5614.25,59
25,5629.88,60
26,5601.461538461538,61
27,5668.814814814815,66
28,5631.758620689655,67
29,5635.928571428572,67
30,5550.066666666667,67
31,5505.15625,68
32,5540.393939393939,68
33,5380.735294117647,69
34,5439.971428571429,69
35,5454.638888888889,69
36,5316.324324324324,69
37,5438.368421052632,70
38,5541.948717948718,70
39,5620.2,71
40,5669.0,72
41,5650.309523809524,72
42,5685.0,73
43,5752.909090909091,73
44,5797.711111111111,73
45,5721.148936170212,74
46,5726.913043478261,74
47,5627.0,74
48,5694.416666666667,74
49,5670.5,75
50,5625.585365853659,75
51,5579.588235294118,76
52,5546.88679245283,76
53,5585.055555555556,77
54,5682.642857142857,77
55,5649.890909090909,77
56,5621.298245614035,77
57,5636.103448275862,77
58,5580.932203389831,78
59,5612.433333333333,79
60,5658.0,79
61,5626.274193548387,79
62,5589.131147540984,80
63,5760.194029850746,80
64,5777.515151515152,80
65,5806.558823529412,81
66,5688.3835616438355,82
67,5721.078947368421,82
68,5726.015384615384,83
69,5677.9375,83
70,5845.164556962025,83
71,5803.025641025641,83
72,5764.25974025974,84
73,5669.413333333333,84
74,5638.5,84
75,5749.861111111111,84
76,5759.168674698795,84
77,5764.422535211268,85
78,5844.885714285714,85
79,5827.7411764705885,86
80,5790.550724637681,86
81,5795.593023255814,86
82,5507.9807692307695,86
83,5815.181818181818,87
84,5757.9775280898875,90
85,5779.357142857143,90
86,5805.780487804878,90
87,5795.777777777777,90
88,5858.15,91
89,5739.922222222222,95
90,5726.879120879121,96
91,5773.065217391304,98
92,5757.419354838709,101
93,5776.080459770115,102
94,5665.231578947369,102
95,5708.927835051546,102
96,5676.135416666667,102
97,5716.68085106383,102
98,5723.212121212121,102
99,5690.234693877551,103
100,5701.267326732674,107
101,5727.568627450981,108
102,5678.922330097087,108
103,5718.961538461538,108
104,5672.527777777777,109
105,5661.0091743119265,109
106,5650.718181818182,109
107,5723.2336448598135,111
108,5703.132075471698,111
109,5743.171428571429,113
110,5610.734848484848,114
111,5646.366412213741,114
112,5623.238461538462,114
113,5641.007751937985,114
114,5681.40625,115
115,5691.03937007874,115
116,5673.674603174603,115
117,5697.888,116
118,5726.6612903225805,116
119,5584.222222222223,116
120,5745.341463414634,117
121,5736.1557377049185,117
122,5744.00826446281,117
123,5781.425,117
124,5773.336134453782,117
125,5749.864406779661,117
126,5741.08,117
127,5759.103448275862,118
128,5725.095652173913,118
129,5709.078947368421,118
130,5697.8230088495575,118
131,5683.741071428572,118
132,5653.7657657657655,118
133,5582.109489051095,118
134,5560.330882352941,119
135,5581.179104477612,119
136,5772.820512820513,119
137,5589.427536231884,120
138,5570.8705035971225,121
139,5580.864285714286,122
140,5594.170212765957,122
141,5612.2464788732395,122
142,5602.774436090225,123
143,5590.818181818182,123
144,5586.013793103448,123
145,5609.876712328767,123
146,5518.993421052632,124
147,5554.25974025974,125
148,5545.848101265823,125
149,5526.704402515723,125
150,5496.782608695652,125
151,5473.666666666667,126
152,5508.3311258278145,126
153,5540.613333333334,126
154,5530.402684563758,126
155,5543.310810810811,126
156,5565.277777777777,126
157,5574.115646258503,127
158,5526.601190476191,127
159,5517.976047904192,127
160,5494.409638554217,127
161,5486.530487804878,127
162,5464.9079754601225,127
163,5475.722222222223,128
164,5529.55,128
165,5528.203821656051,128
166,5551.724358974359,128
167,5551.845161290323,128
168,5528.640522875817,128
169,5500.870588235294,131
170,5527.778378378378,133
171,5516.336956521739,134
172,5523.262295081967,134
173,5541.807692307692,134
174,5522.14364640884,134
175,5505.011111111111,135
176,5525.508379888268,135
177,5501.595505617977,135
178,5481.7683615819205,135
179,5468.210227272727,135
180,5449.571428571428,135
181,5437.425287356322,135
182,5442.387283236994,135
183,5468.732558139535,136
184,5487.228070175439,136
185,5497.307692307692,136
186,5531.274193548387,137
187,5555.452127659574,138
188,5551.084656084656,139
189,5569.784210526316,139
190,5535.2513368983955,140
191,5594.807291666667,142
192,5554.819587628866,142
193,5568.647668393783,143
194,5585.492146596858,143
195,5574.4,143
196,5591.688775510204,143
197,5602.604060913705,143
198,5565.020100502513,144
199,5572.892523364486,146
200,5568.99530516432,146
201,5559.037735849057,146
202,5538.800947867298,146
203,5555.390476190476,146
204,5535.167464114833,146
205,5543.399038461538,146
206,5541.405797101449,147
207,5541.131067961165,147
208,5564.79512195122,147
209,5556.39705882353,147
210,5570.9605911330045,147
211,5553.653465346535,147
212,5572.940298507463,148
213,5569.67,148
214,5571.995433789954,148
215,5568.608294930876,148
216,5575.888888888889,149
217,5572.37962962963,149
218,5567.293023255814,149
219,5563.89592760181,149
220,5547.181818181818,149
221,5567.342342342342,150
222,5561.848623853211,150
223,5582.160714285715,150
224,5577.0,150
225,5557.451327433629,150
226,5551.5502183406115,151
227,5568.19298245614,151
228,5576.929515418502,151
229,5507.550847457627,152
230,5527.446808510638,152
231,5512.376068376068,152
232,5518.227467811159,152
233,5546.643478260869,153
234,5524.168831168831,153
235,5576.346666666666,153
236,5509.185344827586,153
237,5504.273109243697,154
238,5513.564853556485,154
239,5523.425,155
240,5538.925311203319,156
241,5517.053719008264,156
242,5520.757201646091,157
243,5511.696721311476,157
244,5495.942857142857,159
245,5508.508130081301,159
246,5493.3036437246965,160
247,5476.350806451613,160
248,5490.278481012659,161
249,5479.493975903614,161
250,5488.254980079681,162
251,5470.75,163
252,5480.047058823529,169
253,5487.185039370079,175
254,5475.501976284585,175
255,5485.56640625,176
256,5481.389105058366,178
257,5503.314393939394,180
258,5494.896946564885,180
259,5485.408,180
260,5480.0038314176245,180
261,5490.288461538462,180
262,5473.023166023166,180
263,5484.858208955224,181
264,5491.775193798449,181
265,5467.349442379182,181
266,5492.295880149813,181
267,5503.315789473684,181
268,5496.045283018868,181
269,5470.548148148148,181
270,5466.705882352941,182
271,5484.285714285715,183
272,5472.132616487455,184
273,5465.392086330935,184
274,5476.324909747293,184
275,5460.213768115942,184
276,5465.0254545454545,184
277,5478.379562043796,184
278,5475.380952380952,184
279,5451.9815498154985,184
280,5480.412811387901,185
281,5494.695817490494,185
282,5466.943262411348,186
283,5471.109540636043,187
284,5466.7464788732395,187
285,5476.160839160839,188
286,5473.0,188
287,5465.447916666667,188
288,5453.262975778547,190
289,5451.775862068966,190
290,5457.910652920962,190
291,5465.687719298246,190
292,5455.688356164384,190
293,5458.982993197279,191
294,5473.264406779661,192
295,5479.276315789473,194
296,5474.448844884489,195
297,5466.824503311258,197
298,5462.65780730897,199
299,5465.776666666667,200
300,5453.419795221843,200
301,5460.257525083612,200
302,5411.531847133758,201
303,5413.552380952381,201
304,5451.087248322147,201
305,5450.602693602694,201
306,5430.889589905363,201
307,5461.064189189189,202
308,5466.8972809667675,202
309,5460.927272727273,203
310,5450.434650455927,204
311,5438.655487804878,205
312,5425.605504587156,205
313,5415.420245398773,205
314,5409.107692307693,205
315,5399.308641975309,205
316,5414.061919504644,205
317,5414.4503105590065,205
318,5410.22429906542,205
319,5427.388714733543,206
320,5424.184375,206
321,5443.462264150943,206
322,5418.477848101265,206
323,5415.897763578275,206
324,5433.217948717948,206
325,5446.932475884244,206
326,5452.167741935484,207
327,5458.647249190939,208
328,5464.636363636364,210
329,5466.550488599349,211
330,5477.7908496732025,214
331,5471.1573770491805,215
332,5442.906735751295,215
333,5432.127272727273,215
334,5427.71875,216
335,5437.909793814433,216
336,5426.6971279373365,216
337,5426.968586387435,216
338,5434.475065616798,216
339,5423.997368421053,216
340,5416.467018469657,216
341,5409.240740740741,216
342,5409.098143236074,216
343,5418.869680851064,217
344,5416.128,217
345,5419.724598930481,217
346,5437.559139784947,217
347,5425.815013404826,217
348,5438.816711590296,217
349,5426.937837837838,217
350,5424.750677506775,218
351,5420.391304347826,218
352,5433.24523160763,218
353,5424.306010928962,218
354,5412.931506849315,218
355,5421.156593406594,218
356,5435.173553719008,218
357,5434.201657458563,218
358,5426.0664819944595,219
359,5435.152777777777,219
360,5422.972144846796,219
361,5411.645251396648,219
362,5413.851540616247,219
363,5411.699438202248,219
364,5410.538028169014,219
365,5414.567796610169,220
366,5402.495750708215,220
367,5417.346590909091,220
368,5412.9686609686605,220
369,5410.594285714285,220
370,5401.252148997135,220
371,5393.6551724137935,220
372,5386.870317002882,220
373,5400.132947976878,221
374,5399.727536231884,221
375,5414.988372093023,221
376,5409.574344023324,221
377,5419.225146198831,221
378,5414.630498533725,221
379,5423.494117647058,221
380,5427.094395280236,221
381,5434.399408284024,222
382,5435.442136498516,222
383,5432.148809523809,222
384,5437.113432835821,222
385,5447.22754491018,222
386,5456.642642642642,223
387,5453.596385542169,223
388,5446.469230769231,223
389,5446.514138817481,223
390,5446.2273901808785,224
391,5428.816326530612,224
392,5440.195928753181,224
393,5439.710659898477,225
394,5438.569620253164,225
395,5442.3580562659845,225
396,5437.997487437186,225
397,5446.496221662468,225
398,5440.512626262626,226
399,5435.611528822055,226
400,5430.6625,227
401,5425.7780548628425,229
402,5422.385572139304,230
403,5421.647642679901,231
404,5422.443069306931,232
405,5411.671604938271,232
406,5405.5763546798025,233
407,5400.267813267813,252
408,5391.492647058823,377
409,5392.244498777506,506
410,5381.39756097561,634
411,5380.812652068126,759
412,5384.847087378641,887
413,5384.562189054726,1014
414,5213.375,1146
415,5585.875,1272
416,6009.875,1396
417,5795.5,1515
418,5242.888888888889,1628
419,5372.222222222223,1740
420,5724.555555555556,1855
421,5533.444444444444,1971
422,5182.888888888889,2104
423,5091.111111111111,2219
424,4625.666666666667,2333
425,4566.0,2447
426,5224.222222222223,2561
427,5696.666666666667,2672
428,6214.111111111111,2783
429,5700.777777777777,2895
430,5973.666666666667,3010
431,5534.444444444444,3129
432,4986.333333333333,3252
433,4927.333333333333,3370
434,4626.111111111111,3487
435,3561.222222222222,3603
436,3301.8888888888887,3718
437,2678.3333333333335,3836
438,2376.8888888888887,3946
439,3098.4,3953
440,2982.9,4055
441,3484.4,4165
442,3862.8,4283
443,3731.9,4406
444,3719.8,4528
445,4168.6,4647
446,4763.1,4761
447,4997.7,4875
448,5342.111111111111,4989
449,5483.333333333333,5113
450,6008.555555555556,5236
451,5588.888888888889,5360
452,5676.222222222223,5476
453,6019.555555555556,5589
454,5561.111111111111,5701
455,4923.111111111111,5811
456,4784.888888888889,5920
457,4027.0,6030
458,3795.1111111111113,6144
459,3560.4444444444443,6256
460,3862.8888888888887,6372
461,3919.8888888888887,6486
462,4467.222222222223,6606
463,5023.222222222223,6715
464,4862.888888888889,6832
465,5467.666666666667,6949
466,5585.0,7062
467,5850.444444444444,7175
468,6057.333333333333,7298
469,5446.111111111111,7412
470,5296.555555555556,7547
471,4385.888888888889,7662
472,3900.0,7785
473,3963.8888888888887,7906
474,3879.6666666666665,8026
475,3559.4444444444443,8144
476,3744.0,8256
477,2888.0,8365
478,3067.8888888888887,8477
479,3919.222222222222,8596
480,4741.888888888889,8717
481,4800.444444444444,8840
482,5320.555555555556,8962
483,4891.666666666667,9081
484,5090.0,9191
485,5044.111111111111,9302
486,5850.777777777777,9421
487,6290.444444444444,9542
488,6212.444444444444,9665
489,5215.444444444444,9786
490,5630.888888888889,9902
491,5218.0,10012
492,5174.444444444444,10130
493,5199.444444444444,10240
494,4727.444444444444,10353
495,4747.0,10465
496,4414.111111111111,10578
497,3946.0,10689
498,4899.111111111111,10803
499,4659.333333333333,10916
500,4459.777777777777,11037
501,4419.222222222223,11150
