events count, average value,lower bound - 0.3, upper bound - 0.3, timeSpent
1,7483.0,5238.1,9727.9,0
2,5432.27607362,3802.59325153,7061.95889571,231
3,5455.19135802,3818.63395062,7091.74876543,242
4,5435.59627329,3804.9173913,7066.27515528,251
5,5448.78125,3814.146875,7083.415625,254
6,5420.91823899,3794.6427673,7047.19371069,256
7,5416.35443038,3791.44810127,7041.26075949,260
8,5420.15286624,3794.10700637,7046.19872611,268
9,5418.08333333,3792.65833333,7043.50833333,273
10,5446.2,3812.34,7080.06,273
11,5459.75974026,3821.83181818,7097.68766234,274
12,5344.04455446,3740.83118812,6947.25792079,279
13,5331.62068966,3732.13448276,6931.10689655,280
14,5474.49673203,3832.14771242,7116.84575163,285
15,5463.93421053,3824.75394737,7103.11447368,285
16,5471.70198675,3830.19139073,7113.21258278,285
17,5327.46341463,3729.22439024,6925.70243902,286
18,5346.80882353,3742.76617647,6950.85147059,286
19,5301.98058252,3711.38640777,6892.57475728,287
20,5319.30434783,3723.51304348,6915.09565217,288
21,5341.13461538,3738.79423077,6943.475,288
22,5315.66985646,3720.96889952,6910.3708134,289
23,5322.75238095,3725.92666667,6919.57809524,289
24,5328.20379147,3729.74265403,6926.66492891,289
25,5340.76886792,3738.53820755,6942.9995283,290
26,5338.342723,3736.8399061,6939.84553991,290
27,5359.0,3751.3,6966.7,290
28,5361.50697674,3753.05488372,6969.95906977,291
29,5368.48611111,3757.94027778,6979.03194444,291
30,5381.19354839,3766.83548387,6995.5516129,292
31,5481.1,3836.77,7125.43,295
32,5509.13422819,3856.39395973,7161.87449664,296
33,5516.77702703,3861.74391892,7171.81013514,296
34,5502.19047619,3851.53333333,7152.84761905,296
35,5363.43577982,3754.40504587,6972.46651376,296
36,5501.03424658,3850.7239726,7151.34452055,335
37,5482.13103448,3837.49172414,7126.77034483,336
38,5385.77727273,3770.04409091,7001.51045455,337
39,5509.375,3856.5625,7162.1875,337
40,5374.14027149,3761.89819005,6986.38235294,337
41,5497.53146853,3848.27202797,7146.79090909,339
42,5500.15492958,3850.1084507,7150.20140845,339
43,5478.0070922,3834.60496454,7121.40921986,340
44,5482.75,3837.925,7127.575,340
45,5497.21582734,3848.05107914,7146.38057554,340
46,5512.00724638,3858.40507246,7165.60942029,340
47,5519.49635036,3863.64744526,7175.34525547,340
48,5521.48529412,3865.03970588,7177.93088235,341
49,5525.42962963,3867.80074074,7183.05851852,341
50,5492.7761194,3844.94328358,7140.60895522,342
51,5522.49618321,3865.74732824,7179.24503817,342
52,5524.64661654,3867.25263158,7182.0406015,342
53,5510.03030303,3857.02121212,7163.03939394,342
54,5372.68444444,3760.87911111,6984.48977778,342
55,5363.32300885,3754.32610619,6972.3199115,343
56,5513.71538462,3859.60076923,7167.83,343
57,5498.39370079,3848.87559055,7147.91181102,343
58,5489.23255814,3842.4627907,7136.00232558,344
59,5494.66666667,3846.26666667,7143.06666667,361
60,5458.0703125,3820.64921875,7095.49140625,363
61,5482.128,3837.4896,7126.7664,367
62,5432.27642276,3802.59349593,7061.95934959,368
63,5446.06451613,3812.24516129,7079.88387097,372
64,5405.71311475,3783.99918033,7027.42704918,374
65,5386.18181818,3770.32727273,7002.03636364,376
66,5409.89166667,3786.92416667,7032.85916667,379
67,5398.68067227,3779.07647059,7018.28487395,386
68,5372.03389831,3760.42372881,6983.6440678,388
69,5391.76068376,3774.23247863,7009.28888889,390
70,5373.14655172,3761.20258621,6985.09051724,392
71,5359.16521739,3751.41565217,6966.91478261,394
72,5342.35964912,3739.65175439,6945.06754386,395
73,5309.89380531,3716.92566372,6902.8619469,397
74,5303.83035714,3712.68125,6894.97946429,399
75,5264.4954955,3685.14684685,6843.84414414,405
76,5271.18181818,3689.82727273,6852.53636364,406
77,5279.01834862,3695.31284404,6862.72385321,408
78,5269.94444444,3688.96111111,6850.92777778,410
79,5316.88785047,3721.82149533,6911.95420561,411
80,5292.95283019,3705.06698113,6880.83867925,412
81,5329.08571429,3730.36,6927.81142857,412
82,5300.89423077,3710.62596154,6891.1625,414
83,5299.38834951,3709.57184466,6889.20485437,415
84,5307.83333333,3715.48333333,6900.18333333,415
85,5336.71287129,3735.6990099,6937.72673267,415
86,5312.06,3718.442,6905.678,417
87,5355.27272727,3748.69090909,6961.85454545,418
88,5239.43529412,3667.60470588,6811.26588235,418
89,5144.32876712,3601.03013699,6687.62739726,418
90,5334.7755102,3734.34285714,6935.20816327,421
91,5312.35051546,3718.64536082,6906.0556701,423
92,5288.83333333,3702.18333333,6875.48333333,425
93,5264.42105263,3685.09473684,6843.74736842,426
94,5223.07446809,3656.15212766,6789.99680851,429
95,5198.76344086,3639.1344086,6758.39247312,430
96,5205.79347826,3644.05543478,6767.53152174,433
97,5236.83516484,3665.78461538,6807.88571429,437
98,5273.76666667,3691.63666667,6855.89666667,439
99,5308.46067416,3715.92247191,6900.9988764,441
100,5295.14772727,3706.60340909,6883.69204545,443
101,5251.75862069,3676.23103448,6827.2862069,445
102,5259.13953488,3681.39767442,6836.88139535,446
103,5212.86904762,3649.00833333,6776.7297619,448
104,5225.18072289,3657.62650602,6792.73493976,453
105,5284.59756098,3699.21829268,6869.97682927,455
106,5252.40740741,3676.68518519,6828.12962963,457
107,5222.75,3655.925,6789.575,459
108,5177.43037975,3624.20126582,6730.65949367,460
109,5126.82051282,3588.77435897,6664.86666667,465
110,5180.22077922,3626.15454545,6734.28701299,467
111,5131.10526316,3591.77368421,6670.43684211,468
112,5136.82666667,3595.77866667,6677.87466667,469
113,5076.59459459,3553.61621622,6599.57297297,472
114,5150.27777778,3605.19444444,6695.36111111,473
115,5110.74647887,3577.52253521,6643.97042254,474
116,5132.04285714,3592.43,6671.65571429,474
117,5188.13043478,3631.69130435,6744.56956522,474
118,5235.05882353,3664.54117647,6805.57647059,474
119,5169.97014925,3618.97910448,6720.96119403,475
120,5113.1969697,3579.23787879,6647.15606061,475
