Buildfile: /home/chamod/Softwares/wso2/wso2das-3.1.0/samples/cep/consumers/wso2-event-consumer/build.xml

init:

compile:
    [javac] /home/chamod/Softwares/wso2/wso2das-3.1.0/samples/cep/consumers/wso2-event-consumer/build.xml:87: warning: 'includeantruntime' was not set, defaulting to build.sysclasspath=last; set to false for repeatable builds
     [copy] Copying 1 file to /home/chamod/Softwares/wso2/wso2das-3.1.0/samples/cep/consumers/wso2-event-consumer/temp/classes

run:
     [echo] Configure optionally use -DelapsedCount=xxxx -Dprotocol='thrift/binary' -Dhost=xxxx -Dport=xxxx
     [echo]             -DcalcType='throughput/latency'
     [echo]         
     [java] Shutdown hook added.
     [java] PUNCTUATION SERVER started................
     [java] Unable to determine dialect of the StAX implementation at jar:file:/home/chamod/Softwares/wso2/wso2das-3.1.0/repository/components/plugins/axiom_1.2.11.wso2v11.jar!/
     [java] SLF4J: Class path contains multiple SLF4J bindings.
     [java] SLF4J: Found binding in [jar:file:/home/chamod/Softwares/wso2/wso2das-3.1.0/repository/components/plugins/slf4j.log4j12_1.7.13.jar!/org/slf4j/impl/StaticLoggerBinder.class]
     [java] SLF4J: Found binding in [jar:file:/home/chamod/Softwares/wso2/wso2das-3.1.0/repository/components/plugins/slf4j.log4j12_1.7.21.jar!/org/slf4j/impl/StaticLoggerBinder.class]
     [java] SLF4J: See http://www.slf4j.org/codes.html#multiple_bindings for an explanation.
     [java] Thrift Server started at localhost
     [java] Thrift SSL port : 7761
     [java] Thrift port : 7661
     [java] Test Server Started
     [java] user admin connected
     [java] Event: count : 2, avgHumidity : 6801.0, timeSpent : 0
     [java] Event: count : 17, avgHumidity : 6060.176470588235, timeSpent : 1
     [java] Event: count : 5, avgHumidity : 5936.2, timeSpent : 36
     [java] Event: count : 16, avgHumidity : 5870.125, timeSpent : 36
     [java] Event: count : 15, avgHumidity : 6200.733333333334, timeSpent : 37
     [java] Event: count : 14, avgHumidity : 5950.357142857143, timeSpent : 37
     [java] Event: count : 13, avgHumidity : 5714.923076923077, timeSpent : 38
     [java] Event: count : 12, avgHumidity : 5610.333333333333, timeSpent : 38
     [java] Event: count : 11, avgHumidity : 5268.272727272727, timeSpent : 38
     [java] Event: count : 9, avgHumidity : 5944.111111111111, timeSpent : 38
     [java] Event: count : 43, avgHumidity : 5316.139534883721, timeSpent : 39
     [java] Event: count : 45, avgHumidity : 5417.955555555555, timeSpent : 39
     [java] Event: count : 1, avgHumidity : 4249.0, timeSpent : 39
     [java] Event: count : 10, avgHumidity : 5580.3, timeSpent : 39
     [java] Event: count : 3, avgHumidity : 4716.0, timeSpent : 40
     [java] Event: count : 8, avgHumidity : 5931.125, timeSpent : 40
     [java] Event: count : 7, avgHumidity : 6325.857142857143, timeSpent : 40
     [java] Event: count : 6, avgHumidity : 6219.0, timeSpent : 40
     [java] Event: count : 46, avgHumidity : 5346.021739130435, timeSpent : 41
     [java] Event: count : 44, avgHumidity : 5342.318181818182, timeSpent : 41
     [java] Event: count : 42, avgHumidity : 5276.380952380952, timeSpent : 41
     [java] Event: count : 41, avgHumidity : 5269.951219512195, timeSpent : 41
     [java] Event: count : 40, avgHumidity : 5183.45, timeSpent : 41
