events count, average value,lower bound - 0.3, upper bound - 0.3, timeSpent
1,9430.0,6601.0,12259.0,0
2,8198.5,5738.95,10658.05,0
3,8350.75,5845.525,10855.975,8
4,8010.0,5607.0,10413.0,8
5,7530.4,5271.28,9789.52,9
6,6366.33333333,4456.43333333,8276.23333333,9
7,6843.42857143,4790.4,8896.45714286,10
8,6276.25,4393.375,8159.125,12
9,6353.33333333,4447.33333333,8259.33333333,12
10,6322.8,4425.96,8219.64,12
11,6598.27272727,4618.79090909,8577.75454545,13
12,6557.0,4589.9,8524.1,13
13,6296.30769231,4407.41538462,8185.2,14
14,6000.0,4200.0,7800.0,14
15,6200.73333333,4340.51333333,8060.95333333,14
16,5870.125,4109.0875,7631.1625,15
17,6060.17647059,4242.12352941,7878.22941176,16
18,6143.66666667,4300.56666667,7986.76666667,16
19,6061.31578947,4242.92105263,7879.71052632,42
20,6085.35,4259.745,7910.955,47
21,6059.38095238,4241.56666667,7877.1952381,47
22,6077.95454545,4254.56818182,7901.34090909,48
23,6209.52173913,4346.66521739,8072.37826087,48
24,6315.20833333,4420.64583333,8209.77083333,48
25,6439.76,4507.832,8371.688,49
26,6551.03846154,4585.72692308,8516.35,49
27,6504.2962963,4553.00740741,8455.58518519,50
28,5569.7027027,3898.79189189,7240.61351351,53
29,5337.73809524,3736.41666667,6939.05952381,53
30,5218.82222222,3653.17555556,6784.46888889,53
31,5071.63829787,3550.14680851,6593.12978723,53
32,5677.83333333,3974.48333333,7381.18333333,53
33,5765.77142857,4036.04,7495.50285714,53
34,5911.88235294,4138.31764706,7685.44705882,54
35,5967.0,4176.9,7757.1,54
36,6020.96969697,4214.67878788,7827.26060606,54
37,5397.5,3778.25,7016.75,54
38,6129.06451613,4290.34516129,7967.78387097,54
39,5409.94736842,3786.96315789,7032.93157895,55
40,6116.86666667,4281.80666667,7951.92666667,55
41,6291.55172414,4404.0862069,8179.01724138,55
42,6347.32142857,4443.125,8251.51785714,55
43,5500.91071429,3850.6375,7151.18392857,55
44,5468.70909091,3828.09636364,7109.32181818,55
45,5367.52830189,3757.26981132,6977.78679245,55
46,5305.25,3713.675,6896.825,56
47,5238.09803922,3666.66862745,6809.52745098,56
48,5185.5,3629.85,6741.15,56
49,5091.69387755,3564.18571429,6619.20204082,56
50,5366.26229508,3756.38360656,6976.14098361,56
51,5154.875,3608.4125,6701.3375,57
52,5168.10869565,3617.67608696,6718.54130435,60
53,5295.70454545,3706.99318182,6884.41590909,60
54,5261.39534884,3682.97674419,6839.81395349,60
55,5322.65853659,3725.86097561,6919.45609756,62
56,5451.975,3816.3825,7087.5675,62
57,5461.43589744,3823.00512821,7099.86666667,66
58,5441.28947368,3808.90263158,7073.67631579,67
59,5356.31343284,3749.41940299,6963.20746269,67
60,5435.75757576,3805.03030303,7066.48484848,67
61,5399.63076923,3779.74153846,7019.52,67
62,5387.35294118,3771.14705882,7003.55882353,67
63,5550.43661972,3885.3056338,7215.56760563,68
64,5561.25,3892.875,7229.625,68
65,5590.83561644,3913.58493151,7268.08630137,68
66,5599.66216216,3919.76351351,7279.56081081,70
67,5658.05333333,3960.63733333,7355.46933333,70
68,5606.72368421,3924.70657895,7288.74078947,71
69,5659.57142857,3961.7,7357.44285714,71
70,5589.25641026,3912.47948718,7266.03333333,71
71,5606.53164557,3924.5721519,7288.49113924,71
72,5591.7375,3914.21625,7269.25875,72
73,5616.72839506,3931.70987654,7301.74691358,72
74,5591.95121951,3914.36585366,7269.53658537,72
75,5540.31325301,3878.21927711,7202.40722892,72
76,5500.01190476,3850.00833333,7150.01547619,72
77,5475.45882353,3832.82117647,7118.09647059,72
78,5522.0,3865.4,7178.6,73
79,5416.95505618,3791.86853933,7042.04157303,73
80,5457.36666667,3820.15666667,7094.57666667,73
81,5442.98901099,3810.09230769,7075.88571429,73
82,5490.43478261,3843.30434783,7137.56521739,74
83,5409.71875,3786.803125,7032.634375,74
84,5406.73015873,3784.71111111,7028.74920635,74
85,5423.46774194,3796.42741935,7050.50806452,74
86,5321.61666667,3725.13166667,6918.10166667,74
87,5340.57627119,3738.40338983,6942.74915254,78
88,5367.67241379,3757.37068966,6977.97413793,81
89,5610.79411765,3927.55588235,7294.03235294,90
90,5602.81188119,3921.96831683,7283.65544554,90
91,5580.04,3906.028,7254.052,90
92,5629.8490566,3940.89433962,7318.80377358,91
93,5665.76923077,3966.03846154,7365.5,92
94,5577.57575758,3904.3030303,7250.84848485,92
95,5555.66326531,3888.96428571,7222.3622449,93
96,5565.26804124,3895.68762887,7234.84845361,93
97,5588.76041667,3912.13229167,7265.38854167,93
98,5554.73684211,3888.31578947,7221.15789474,93
99,5548.08510638,3883.65957447,7212.5106383,94
100,5527.77419355,3869.44193548,7186.10645161,98
101,5469.05681818,3828.33977273,7109.77386364,99
102,5486.12643678,3840.28850575,7131.96436782,99
103,5489.31428571,3842.52,7136.10857143,99
104,5434.94202899,3804.45942029,7065.42463768,99
105,5595.64227642,3916.9495935,7274.33495935,100
106,5570.1557377,3899.10901639,7241.20245902,100
107,5537.04958678,3875.93471074,7198.16446281,100
108,5552.63333333,3886.84333333,7218.42333333,100
109,5584.56302521,3909.19411765,7259.93193277,100
110,5575.39830508,3902.77881356,7248.01779661,100
111,5551.5042735,3886.05299145,7216.95555556,100
112,5596.49137931,3917.54396552,7275.4387931,101
113,5560.09565217,3892.06695652,7228.12434783,101
114,5547.21052632,3883.04736842,7211.37368421,101
115,5584.89380531,3909.42566372,7260.3619469,101
116,5558.08928571,3890.6625,7225.51607143,101
117,5541.72972973,3879.21081081,7204.24864865,101
118,5557.35454545,3890.14818182,7224.56090909,102
119,5601.88990826,3921.32293578,7282.45688073,102
120,5594.47222222,3916.13055556,7272.81388889,102
