Buildfile: /home/chamod/Softwares/wso2/wso2das-3.1.0/samples/cep/consumers/wso2-event-consumer/build.xml

init:

compile:
    [javac] /home/chamod/Softwares/wso2/wso2das-3.1.0/samples/cep/consumers/wso2-event-consumer/build.xml:87: warning: 'includeantruntime' was not set, defaulting to build.sysclasspath=last; set to false for repeatable builds
     [copy] Copying 1 file to /home/chamod/Softwares/wso2/wso2das-3.1.0/samples/cep/consumers/wso2-event-consumer/temp/classes

run:
     [echo] Configure optionally use -DelapsedCount=xxxx -Dprotocol='thrift/binary' -Dhost=xxxx -Dport=xxxx
     [echo]             -DcalcType='throughput/latency'
     [echo]         
     [java] Shutdown hook added.
     [java] PUNCTUATION SERVER started................
     [java] Unable to determine dialect of the StAX implementation at jar:file:/home/chamod/Softwares/wso2/wso2das-3.1.0/repository/components/plugins/axiom_1.2.11.wso2v11.jar!/
     [java] SLF4J: Class path contains multiple SLF4J bindings.
     [java] SLF4J: Found binding in [jar:file:/home/chamod/Softwares/wso2/wso2das-3.1.0/repository/components/plugins/slf4j.log4j12_1.7.13.jar!/org/slf4j/impl/StaticLoggerBinder.class]
     [java] SLF4J: Found binding in [jar:file:/home/chamod/Softwares/wso2/wso2das-3.1.0/repository/components/plugins/slf4j.log4j12_1.7.21.jar!/org/slf4j/impl/StaticLoggerBinder.class]
     [java] SLF4J: See http://www.slf4j.org/codes.html#multiple_bindings for an explanation.
     [java] Thrift Server started at localhost
     [java] Thrift SSL port : 7761
     [java] Thrift port : 7661
     [java] Test Server Started
     [java] user admin connected
     [java] Event: count : 1, maxHumidity : 299076, timeSpent : 0
     [java] Event: count : 2, maxHumidity : 914042, timeSpent : 0
     [java] Event: count : 3, maxHumidity : 914042, timeSpent : 1
     [java] Event: count : 4, maxHumidity : 914042, timeSpent : 2
     [java] Event: count : 5, maxHumidity : 914042, timeSpent : 3
     [java] Event: count : 6, maxHumidity : 914042, timeSpent : 7
     [java] Event: count : 7, maxHumidity : 914042, timeSpent : 14
     [java] Event: count : 8, maxHumidity : 914042, timeSpent : 17
     [java] Event: count : 9, maxHumidity : 914042, timeSpent : 18
     [java] Event: count : 10, maxHumidity : 914042, timeSpent : 18
     [java] Event: count : 11, maxHumidity : 914042, timeSpent : 18
     [java] Event: count : 12, maxHumidity : 914042, timeSpent : 21
     [java] Event: count : 13, maxHumidity : 914042, timeSpent : 23
     [java] Event: count : 14, maxHumidity : 914042, timeSpent : 24
     [java] Event: count : 15, maxHumidity : 914042, timeSpent : 24
     [java] Event: count : 16, maxHumidity : 914042, timeSpent : 25
     [java] Event: count : 17, maxHumidity : 914042, timeSpent : 25
     [java] Event: count : 18, maxHumidity : 914042, timeSpent : 30
     [java] Event: count : 19, maxHumidity : 914042, timeSpent : 61
     [java] Event: count : 20, maxHumidity : 914042, timeSpent : 62
     [java] Event: count : 25, maxHumidity : 914042, timeSpent : 62
     [java] Event: count : 24, maxHumidity : 914042, timeSpent : 62
     [java] Event: count : 23, maxHumidity : 914042, timeSpent : 62
     [java] Event: count : 22, maxHumidity : 914042, timeSpent : 62
     [java] Event: count : 21, maxHumidity : 914042, timeSpent : 94
     [java] Event: count : 63, maxHumidity : 973358, timeSpent : 115
     [java] Event: count : 62, maxHumidity : 973358, timeSpent : 118
     [java] Event: count : 61, maxHumidity : 973358, timeSpent : 120
     [java] Event: count : 60, maxHumidity : 973358, timeSpent : 128
     [java] Event: count : 59, maxHumidity : 973358, timeSpent : 130
     [java] Event: count : 58, maxHumidity : 973358, timeSpent : 130
     [java] Event: count : 64, maxHumidity : 973358, timeSpent : 130
     [java] Event: count : 57, maxHumidity : 973358, timeSpent : 132
     [java] Event: count : 56, maxHumidity : 973358, timeSpent : 135
     [java] Event: count : 55, maxHumidity : 973358, timeSpent : 168
     [java] Event: count : 54, maxHumidity : 973358, timeSpent : 168
     [java] Event: count : 53, maxHumidity : 973358, timeSpent : 169
