events count, max value, timeSpent
1,299076.0,0
2,914042.0,0
3,914042.0,1
4,914042.0,2
5,914042.0,3
6,914042.0,7
7,914042.0,14
8,914042.0,17
9,914042.0,18
10,914042.0,18
11,914042.0,18
12,914042.0,21
13,914042.0,23
14,914042.0,24
15,914042.0,24
16,914042.0,25
17,914042.0,25
18,914042.0,30
19,914042.0,61
20,914042.0,62
21,914042.0,62
22,914042.0,62
23,914042.0,62
24,914042.0,62
25,914042.0,94
26,973358.0,115
27,973358.0,118
28,973358.0,120
29,973358.0,128
30,973358.0,130
31,973358.0,130
32,973358.0,130
33,973358.0,132
34,973358.0,135
35,973358.0,168
36,973358.0,168
37,973358.0,169
38,973358.0,169
39,973358.0,169
40,973358.0,171
41,973358.0,177
42,973358.0,188
43,973358.0,188
44,973358.0,189
45,992085.0,189
46,992085.0,189
47,973358.0,189
48,973358.0,189
49,973358.0,189
50,973358.0,189
51,973358.0,190
52,998672.0,192
53,973358.0,192
54,973358.0,192
55,973358.0,192
56,973358.0,193
57,973358.0,194
58,973358.0,194
59,973358.0,194
60,973358.0,195
61,998672.0,197
62,998672.0,197
63,998672.0,197
64,973358.0,197
65,973358.0,198
66,973358.0,198
67,973358.0,200
68,973358.0,200
69,973358.0,200
70,973358.0,201
71,998672.0,201
72,998672.0,201
73,998672.0,201
74,998672.0,201
75,998672.0,201
76,998672.0,202
77,998672.0,202
78,998672.0,202
79,998672.0,202
80,998672.0,202
81,998672.0,203
82,998672.0,203
83,998672.0,213
84,998672.0,213
85,998672.0,213
86,998672.0,216
87,998672.0,216
88,998672.0,216
89,998672.0,216
90,998672.0,216
91,998672.0,216
92,998672.0,216
93,998672.0,217
94,998672.0,217
95,998672.0,217
96,998672.0,218
97,998672.0,219
98,999782.0,219
99,998672.0,219
100,998672.0,221
101,998672.0,221
102,998672.0,226
103,998672.0,226
104,998672.0,233
105,998672.0,233
106,998672.0,233
107,998672.0,234
108,998672.0,234
109,998672.0,234
110,998672.0,234
111,999782.0,234
112,998672.0,235
113,998672.0,235
114,998672.0,235
115,998672.0,235
116,999782.0,235
117,999782.0,236
118,998672.0,236
119,998672.0,236
120,998672.0,237
121,998672.0,237
122,998672.0,237
123,998672.0,237
124,998672.0,237
125,998672.0,237
126,998672.0,237
127,998672.0,238
128,998672.0,238
129,998672.0,238
130,998672.0,238
131,992085.0,238
132,992085.0,239
133,992085.0,239
134,992085.0,239
135,992085.0,239
136,992085.0,239
137,992085.0,240
138,992085.0,240
139,992085.0,240
140,992085.0,240
141,992085.0,240
142,992085.0,240
143,992085.0,240
144,999782.0,241
145,992085.0,241
146,992085.0,241
147,992085.0,241
148,992085.0,241
149,992085.0,241
150,992085.0,241
151,992085.0,242
152,992085.0,242
153,992085.0,242
154,992085.0,242
155,992085.0,243
156,992085.0,243
157,992085.0,243
158,992085.0,243
159,992085.0,243
160,992085.0,244
161,992085.0,244
162,992085.0,244
163,992085.0,249
164,992085.0,249
165,992085.0,249
166,992085.0,249
167,992085.0,249
168,992085.0,250
169,992085.0,250
170,992085.0,250
171,992085.0,250
172,992085.0,251
173,999782.0,251
174,992085.0,251
175,999782.0,252
176,992085.0,252
177,992085.0,252
178,992085.0,252
179,992085.0,253
180,992085.0,253
181,992085.0,253
182,992085.0,254
183,992085.0,254
184,992085.0,255
185,992085.0,255
186,992085.0,255
187,992085.0,255
188,992085.0,256
189,992085.0,257
190,992085.0,260
191,992085.0,260
192,992085.0,261
193,992085.0,263
194,992085.0,263
195,992085.0,263
196,992085.0,264
197,992085.0,264
198,992085.0,264
199,992085.0,265
200,992085.0,265
201,992085.0,265
202,992085.0,266
203,999782.0,266
204,999782.0,266
205,992085.0,267
206,992085.0,267
207,992085.0,270
208,992085.0,270
209,992085.0,270
210,992085.0,270
211,988570.0,271
212,988570.0,271
213,988570.0,271
214,988570.0,271
215,988570.0,272
216,988570.0,272
217,988570.0,272
218,988570.0,272
219,988570.0,272
220,988570.0,273
221,988570.0,273
222,988570.0,273
223,988570.0,273
224,988570.0,273
225,988570.0,274
226,988570.0,274
227,988570.0,274
228,988570.0,274
229,988570.0,274
230,999782.0,274
231,999782.0,275
232,999782.0,275
233,999782.0,275
234,999782.0,275
235,999782.0,275
236,999782.0,275
237,999782.0,275
238,999782.0,275
239,999782.0,276
240,999782.0,276
241,999782.0,276
242,999782.0,276
243,999782.0,276
244,999782.0,278
245,999782.0,278
246,999782.0,278
247,999782.0,278
248,999782.0,278
249,999782.0,278
250,999782.0,278
251,999782.0,279
252,999782.0,279
253,999782.0,279
254,999782.0,279
255,999782.0,279
256,999782.0,279
257,999782.0,280
258,999782.0,280
259,999782.0,280
260,999782.0,280
261,999782.0,280
262,999782.0,280
263,999782.0,280
264,999782.0,281
265,999782.0,281
266,999782.0,281
267,999782.0,281
268,999782.0,281
269,999782.0,281
270,999782.0,281
271,999782.0,282
272,999782.0,282
273,999782.0,282
274,999782.0,282
275,999782.0,282
276,999782.0,282
277,999782.0,282
278,999782.0,283
279,999782.0,283
280,999782.0,283
281,999782.0,283
282,999782.0,283
283,999782.0,283
284,999782.0,283
285,999782.0,284
286,999782.0,284
287,999782.0,284
288,999782.0,284
289,999782.0,284
290,999782.0,284
291,999782.0,284
292,999782.0,284
293,999782.0,285
294,999782.0,285
295,999782.0,285
296,999782.0,285
297,999782.0,285
298,999782.0,285
299,999782.0,285
300,999782.0,285
301,999782.0,286
302,999782.0,286
303,999782.0,286
304,999782.0,286
305,999782.0,286
306,999782.0,286
307,999782.0,286
308,999782.0,286
309,999782.0,286
310,999782.0,287
311,999782.0,287
312,999782.0,287
313,999782.0,287
314,999782.0,287
315,999782.0,287
316,999782.0,287
317,999782.0,287
318,999782.0,287
319,999782.0,287
320,999782.0,287
321,999782.0,287
322,999782.0,288
323,999782.0,288
324,999782.0,288
325,999782.0,288
326,999782.0,288
327,999782.0,288
328,999782.0,288
329,999782.0,288
330,999782.0,288
331,999782.0,288
332,999782.0,288
333,999782.0,289
334,999782.0,289
335,999782.0,289
336,999782.0,289
337,999782.0,289
338,999782.0,289
339,999782.0,289
340,999782.0,290
341,999782.0,290
342,999782.0,290
343,999782.0,290
344,999782.0,290
345,999782.0,290
346,999782.0,290
347,999782.0,290
348,999782.0,291
349,999782.0,291
350,999782.0,291
