Buildfile: /home/chamod/Softwares/wso2/wso2das-3.1.0/samples/cep/consumers/wso2-event-consumer/build.xml

init:

compile:
    [javac] /home/chamod/Softwares/wso2/wso2das-3.1.0/samples/cep/consumers/wso2-event-consumer/build.xml:87: warning: 'includeantruntime' was not set, defaulting to build.sysclasspath=last; set to false for repeatable builds
    [javac] Compiling 1 source file to /home/chamod/Softwares/wso2/wso2das-3.1.0/samples/cep/consumers/wso2-event-consumer/temp/classes
     [copy] Copying 1 file to /home/chamod/Softwares/wso2/wso2das-3.1.0/samples/cep/consumers/wso2-event-consumer/temp/classes

run:
     [echo] Configure optionally use -DelapsedCount=xxxx -Dprotocol='thrift/binary' -Dhost=xxxx -Dport=xxxx
     [echo]             -DcalcType='throughput/latency'
     [echo]         
     [java] Shutdown hook added.
     [java] PUNCTUATION SERVER started................
     [java] Unable to determine dialect of the StAX implementation at jar:file:/home/chamod/Softwares/wso2/wso2das-3.1.0/repository/components/plugins/axiom_1.2.11.wso2v11.jar!/
     [java] SLF4J: Class path contains multiple SLF4J bindings.
     [java] SLF4J: Found binding in [jar:file:/home/chamod/Softwares/wso2/wso2das-3.1.0/repository/components/plugins/slf4j.log4j12_1.7.13.jar!/org/slf4j/impl/StaticLoggerBinder.class]
     [java] SLF4J: Found binding in [jar:file:/home/chamod/Softwares/wso2/wso2das-3.1.0/repository/components/plugins/slf4j.log4j12_1.7.21.jar!/org/slf4j/impl/StaticLoggerBinder.class]
     [java] SLF4J: See http://www.slf4j.org/codes.html#multiple_bindings for an explanation.
     [java] Thrift Server started at localhost
     [java] Thrift SSL port : 7761
     [java] Thrift port : 7661
     [java] Test Server Started
     [java] user admin connected
     [java] Event: count : 1, maxHumidity : 195165, timeSpent : 0
     [java] Event: count : 76, maxHumidity : 999706, timeSpent : 69
     [java] Event: count : 159, maxHumidity : 999782, timeSpent : 101
     [java] Event: count : 258, maxHumidity : 999782, timeSpent : 125
     [java] Event: count : 301, maxHumidity : 999782, timeSpent : 139
     [java] Event: count : 376, maxHumidity : 999782, timeSpent : 178
     [java] Event: count : 451, maxHumidity : 999782, timeSpent : 242
     [java] Event: count : 526, maxHumidity : 999782, timeSpent : 332
     [java] Event: count : 601, maxHumidity : 999782, timeSpent : 421
     [java] Event: count : 676, maxHumidity : 999782, timeSpent : 510
     [java] Event: count : 751, maxHumidity : 999782, timeSpent : 611
     [java] Event: count : 826, maxHumidity : 999782, timeSpent : 697
     [java] Event: count : 901, maxHumidity : 999782, timeSpent : 791
     [java] Event: count : 976, maxHumidity : 999782, timeSpent : 898
     [java] Event: count : 1051, maxHumidity : 999782, timeSpent : 987
     [java] Event: count : 1126, maxHumidity : 999782, timeSpent : 1074
     [java] Event: count : 1201, maxHumidity : 999782, timeSpent : 1167
     [java] Event: count : 1276, maxHumidity : 999782, timeSpent : 1261
     [java] Event: count : 1351, maxHumidity : 999782, timeSpent : 1347
     [java] Event: count : 1426, maxHumidity : 999782, timeSpent : 1442
     [java] Event: count : 1501, maxHumidity : 999782, timeSpent : 1526
     [java] Event: count : 1576, maxHumidity : 999782, timeSpent : 1612
     [java] Event: count : 1651, maxHumidity : 999782, timeSpent : 1696
     [java] Event: count : 1726, maxHumidity : 999782, timeSpent : 1784
     [java] Event: count : 1801, maxHumidity : 999782, timeSpent : 1871
     [java] Event: count : 1876, maxHumidity : 999782, timeSpent : 1975
     [java] Event: count : 1951, maxHumidity : 999782, timeSpent : 2066
     [java] Event: count : 2026, maxHumidity : 999782, timeSpent : 2149
     [java] Event: count : 2101, maxHumidity : 999782, timeSpent : 2237
     [java] Event: count : 2176, maxHumidity : 999782, timeSpent : 2322
     [java] Event: count : 2251, maxHumidity : 999782, timeSpent : 2407
     [java] Event: count : 2326, maxHumidity : 999782, timeSpent : 2493
     [java] Event: count : 2401, maxHumidity : 999782, timeSpent : 2584
     [java] Event: count : 2476, maxHumidity : 999782, timeSpent : 2680
     [java] Event: count : 2551, maxHumidity : 999782, timeSpent : 2769
